,bagnet verd o salsa verde piemontese,besciamella con il bimby,bisque di gamberi,bucatini alla gricia,calamarata napoletana,caponata di melanzane e peperoni,caramello salato,cavatelli alla lucana,chili beans di carne,"chimichurri, la ricetta della salsa argentina per le carni e il pesce alla griglia",chutney di mango speziato,chutney di pere,cipolle in agrodolce con salsa di soia,come preparare la panna acida,crema di parmigiano,creme fraiche,crostini alle mele,fonduta di grana padano,gamberi thai,genovese di baccalà,gricia di mare,hummus di carote viola,hummus di ceci,hummus di fagioli azuki,ketchup fatto in casa,linguine agli scampi,linguine noci e nocciole,maionese,paccheri con baccalà,pasta al pesto con funghi porcini,pasta al ragù bianco con funghi,pasta alla norcina e funghi,pasta asparagi e tonno,pasta con baccalà in bianco,pasta con carciofi,pasta con castagne e salsiccia,pasta con fiori di zucca,pasta con melanzane e finocchietto,pasta con melograno e noci,pasta con peperoni e tonno fresco,pasta con zucchine e pancetta,pasta e piselli,pasta melanzane e pomodorini,pasta radicchio e speck,pasta ricotta e noci,pasta salmone noci e pistacchio,pasta sarde e finocchietto fatta in casa,pasta zucchine e tonno,penne al baffo,"pesto alla genovese fatto in casa, la ricetta originale",pesto alla siciliana,pesto alla trapanese,pesto di foglie di ravanello,pesto di melanzane light,pesto di zucchine,pico de gallo,pizzoccheri con pesce spada,polpo alla luciana,ragù di soia vegetale,ragù napoletano,ragù rosso di carne,rigatoni alla genovese,salsa al curry,salsa allo yogurt,salsa allo yogurt per kebab,salsa aurora,salsa cocktail (salsa rosa),salsa gravy,salsa mornay,salsa olandese,salsa tahina fatta in casa,"salsa tartara, una maionese arricchita con erbe e sottaceti",salsa tonnata,salsa verde,scampi alla busara,spaghetti bottarga e limone,spaghetti cacio e pepe,"spaghetti con pesto di broccoli, sarde e uvetta",sugo ai funghi porcini per servire la pasta o la polenta,trofie alla carlofortina
cipolle in agrodolce con salsa di soia,0.07,0.0,0.07,0.0,0.08,0.07,0.0,0.06,0.06,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.14,0.0,0.12,0.14,0.0,0.06,0.08,0.07,0.0,0.06,0.07,0.0,0.0,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.09,0.08,0.07,0.08,0.0,0.07,0.08,0.06,0.07,0.06,0.06,0.07,0.07,0.08,0.07,0.08,0.0,0.07,0.07,0.0,0.07,0.07,0.1,0.07,0.12,0.12,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.07,0.07,0.09,0.09,0.09,0.06
come preparare la panna acida,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
crema di parmigiano,0.0,0.4,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.06,0.0,0.07,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.13,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06
creme fraiche,0.0,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crostini alle mele,0.06,0.08,0.06,0.08,0.12,0.11,0.08,0.14,0.14,0.16,0.0,0.0,0.14,0.0,0.0,0.0,1.0,0.07,0.05,0.16,0.06,0.16,0.22,0.16,0.06,0.15,0.12,0.0,0.06,0.12,0.18,0.11,0.1,0.18,0.16,0.06,0.08,0.2,0.12,0.07,0.06,0.11,0.07,0.05,0.11,0.1,0.05,0.18,0.11,0.07,0.12,0.19,0.0,0.16,0.12,0.07,0.18,0.18,0.12,0.11,0.19,0.14,0.07,0.0,0.19,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.08,0.19,0.16,0.12,0.15,0.11,0.15,0.14
fonduta di grana padano,0.0,0.28,0.0,0.18,0.0,0.07,0.1,0.06,0.06,0.07,0.0,0.0,0.0,0.0,0.18,0.0,0.07,1.0,0.0,0.07,0.08,0.06,0.08,0.07,0.06,0.06,0.07,0.0,0.0,0.0,0.07,0.07,0.06,0.07,0.07,0.0,0.0,0.08,0.07,0.0,0.07,0.07,0.0,0.0,0.07,0.06,0.0,0.07,0.07,0.0,0.0,0.08,0.0,0.07,0.07,0.08,0.07,0.07,0.1,0.07,0.06,0.12,0.08,0.0,0.16,0.08,0.07,0.0,0.22,0.0,0.12,0.07,0.05,0.08,0.07,0.14,0.09,0.0,0.0,0.06
gamberi thai,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.05,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
genovese di baccalà,0.11,0.08,0.12,0.08,0.06,0.11,0.08,0.14,0.09,0.11,0.0,0.0,0.14,0.0,0.0,0.0,0.16,0.07,0.05,1.0,0.06,0.1,0.18,0.11,0.06,0.1,0.12,0.0,0.32,0.06,0.12,0.11,0.1,0.42,0.16,0.12,0.08,0.14,0.12,0.07,0.06,0.11,0.07,0.05,0.11,0.1,0.1,0.12,0.16,0.07,0.06,0.12,0.0,0.16,0.12,0.07,0.12,0.18,0.16,0.11,0.19,0.19,0.07,0.06,0.12,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.16,0.19,0.22,0.18,0.15,0.08,0.08,0.1
gricia di mare,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.11,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.06,1.0,0.06,0.08,0.06,0.0,0.12,0.06,0.0,0.0,0.0,0.06,0.06,0.12,0.14,0.06,0.0,0.0,0.08,0.14,0.0,0.14,0.12,0.08,0.0,0.06,0.12,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.1,0.0,0.0,0.0,0.08,0.0,0.07,0.08,0.06,0.0,0.06,0.0,0.11,0.0,0.04,0.07,0.06,0.14,0.34,0.0,0.0,0.06
hummus di carote viola,0.06,0.07,0.0,0.07,0.12,0.1,0.08,0.14,0.17,0.21,0.0,0.0,0.06,0.0,0.0,0.0,0.16,0.06,0.0,0.1,0.06,1.0,0.27,0.21,0.05,0.14,0.11,0.0,0.06,0.11,0.17,0.1,0.1,0.17,0.16,0.06,0.07,0.2,0.11,0.06,0.06,0.1,0.06,0.05,0.1,0.1,0.05,0.17,0.1,0.06,0.11,0.18,0.0,0.16,0.11,0.06,0.17,0.17,0.12,0.1,0.09,0.09,0.06,0.0,0.18,0.06,0.06,0.0,0.06,0.0,0.18,0.06,0.08,0.18,0.16,0.11,0.07,0.1,0.21,0.14
hummus di ceci,0.1,0.1,0.0,0.1,0.16,0.14,0.1,0.22,0.17,0.22,0.0,0.0,0.08,0.0,0.0,0.0,0.22,0.08,0.0,0.18,0.08,0.27,1.0,0.32,0.06,0.2,0.15,0.0,0.08,0.15,0.22,0.14,0.14,0.22,0.22,0.08,0.1,0.26,0.15,0.08,0.08,0.14,0.08,0.06,0.14,0.14,0.06,0.22,0.18,0.08,0.15,0.24,0.0,0.25,0.15,0.08,0.22,0.26,0.1,0.14,0.12,0.12,0.08,0.04,0.24,0.08,0.08,0.0,0.08,0.0,0.12,0.0,0.16,0.28,0.25,0.19,0.1,0.14,0.19,0.18
hummus di fagioli azuki,0.06,0.08,0.0,0.08,0.12,0.11,0.08,0.14,0.18,0.16,0.0,0.0,0.07,0.0,0.0,0.0,0.16,0.07,0.0,0.11,0.06,0.21,0.32,1.0,0.06,0.15,0.12,0.0,0.06,0.12,0.18,0.11,0.1,0.18,0.16,0.06,0.08,0.2,0.12,0.07,0.06,0.11,0.07,0.05,0.16,0.1,0.05,0.18,0.11,0.07,0.12,0.19,0.0,0.16,0.12,0.07,0.18,0.18,0.08,0.11,0.1,0.1,0.07,0.0,0.19,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.08,0.19,0.16,0.12,0.08,0.25,0.15,0.14
ketchup fatto in casa,0.0,0.0,0.0,0.0,0.06,0.16,0.16,0.09,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.05,0.06,0.06,1.0,0.05,0.06,0.0,0.0,0.0,0.06,0.06,0.05,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.06,0.05,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.04,0.0,0.0,0.0,0.06,0.0,0.06,0.2,0.06,0.0,0.06,0.0,0.09,0.06,0.04,0.06,0.06,0.06,0.07,0.04,0.0,0.04
linguine agli scampi,0.05,0.06,0.0,0.06,0.17,0.1,0.08,0.18,0.12,0.15,0.0,0.0,0.06,0.0,0.0,0.0,0.15,0.06,0.0,0.1,0.12,0.14,0.2,0.15,0.05,1.0,0.16,0.0,0.12,0.1,0.16,0.1,0.14,0.16,0.15,0.06,0.06,0.24,0.16,0.06,0.1,0.15,0.12,0.04,0.1,0.14,0.09,0.16,0.1,0.06,0.1,0.17,0.0,0.15,0.1,0.06,0.16,0.16,0.15,0.1,0.08,0.08,0.06,0.0,0.17,0.06,0.06,0.0,0.06,0.0,0.08,0.0,0.08,0.17,0.45,0.16,0.14,0.1,0.14,0.18
linguine noci e nocciole,0.06,0.08,0.0,0.08,0.06,0.12,0.09,0.1,0.1,0.12,0.0,0.0,0.07,0.0,0.0,0.0,0.12,0.07,0.0,0.12,0.06,0.11,0.15,0.12,0.06,0.16,1.0,0.0,0.0,0.06,0.12,0.12,0.11,0.12,0.12,0.06,0.08,0.22,0.12,0.07,0.06,0.12,0.07,0.1,0.3,0.26,0.06,0.12,0.12,0.07,0.06,0.14,0.0,0.12,0.12,0.07,0.12,0.12,0.09,0.12,0.1,0.1,0.07,0.0,0.14,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.09,0.14,0.12,0.12,0.08,0.08,0.08,0.1
maionese,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.1,0.18,0.0,0.0,0.11,0.0,0.08,0.0,0.1,0.0,0.0,0.0,0.06,0.0,0.0
paccheri con baccalà,0.06,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.05,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.06,0.0,0.0,0.32,0.0,0.06,0.08,0.06,0.0,0.12,0.0,0.1,1.0,0.14,0.06,0.0,0.0,0.36,0.06,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.12,0.0,0.0,0.0,0.06,0.0,0.0,0.14,0.07,0.08,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.08,0.0,0.06,0.0,0.07,0.06,0.0,0.0,0.08,0.08,0.16
pasta al pesto con funghi porcini,0.18,0.0,0.0,0.0,0.14,0.06,0.0,0.1,0.14,0.12,0.0,0.0,0.07,0.09,0.0,0.0,0.12,0.0,0.0,0.06,0.0,0.11,0.15,0.12,0.0,0.1,0.06,0.09,0.14,1.0,0.12,0.06,0.06,0.12,0.12,0.27,0.29,0.14,0.06,0.07,0.0,0.24,0.07,0.22,0.22,0.06,0.06,0.12,0.06,0.07,0.18,0.14,0.07,0.12,0.06,0.0,0.12,0.18,0.04,0.06,0.05,0.05,0.0,0.06,0.14,0.0,0.0,0.0,0.0,0.16,0.0,0.06,0.04,0.14,0.18,0.06,0.0,0.16,0.16,0.1
pasta al ragù bianco con funghi,0.06,0.08,0.0,0.08,0.14,0.12,0.09,0.16,0.14,0.18,0.0,0.0,0.07,0.0,0.08,0.0,0.18,0.07,0.0,0.12,0.06,0.17,0.22,0.18,0.06,0.16,0.12,0.0,0.06,0.12,1.0,0.12,0.17,0.18,0.18,0.06,0.08,0.22,0.12,0.07,0.12,0.18,0.07,0.06,0.12,0.17,0.06,0.18,0.18,0.07,0.12,0.2,0.0,0.18,0.18,0.07,0.18,0.18,0.09,0.12,0.1,0.1,0.07,0.0,0.2,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.09,0.2,0.18,0.12,0.08,0.16,0.16,0.2
pasta alla norcina e funghi,0.06,0.08,0.0,0.08,0.06,0.11,0.08,0.14,0.09,0.11,0.0,0.0,0.07,0.0,0.0,0.0,0.11,0.07,0.0,0.11,0.06,0.1,0.14,0.11,0.06,0.1,0.12,0.0,0.0,0.06,0.12,1.0,0.1,0.12,0.11,0.06,0.08,0.14,0.18,0.07,0.12,0.16,0.07,0.05,0.11,0.1,0.05,0.12,0.16,0.07,0.12,0.19,0.0,0.11,0.18,0.07,0.18,0.12,0.12,0.16,0.1,0.1,0.07,0.0,0.12,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.08,0.12,0.11,0.12,0.08,0.11,0.65,0.1
pasta asparagi e tonno,0.06,0.07,0.0,0.07,0.06,0.1,0.08,0.14,0.08,0.1,0.0,0.0,0.06,0.0,0.07,0.09,0.1,0.06,0.0,0.1,0.12,0.1,0.14,0.1,0.05,0.14,0.11,0.0,0.0,0.06,0.17,0.1,1.0,0.11,0.1,0.06,0.07,0.13,0.17,0.06,0.17,0.21,0.06,0.05,0.16,0.2,0.05,0.27,0.16,0.06,0.11,0.12,0.0,0.1,0.17,0.06,0.11,0.11,0.12,0.1,0.09,0.09,0.06,0.0,0.12,0.06,0.06,0.0,0.06,0.0,0.09,0.0,0.12,0.12,0.1,0.11,0.14,0.1,0.07,0.14
pasta con baccalà in bianco,0.06,0.08,0.0,0.08,0.2,0.12,0.09,0.16,0.14,0.18,0.06,0.06,0.07,0.0,0.0,0.0,0.18,0.07,0.0,0.42,0.14,0.17,0.22,0.18,0.06,0.16,0.12,0.0,0.36,0.12,0.18,0.12,0.11,1.0,0.18,0.06,0.08,0.22,0.12,0.07,0.06,0.12,0.27,0.06,0.12,0.11,0.06,0.38,0.12,0.07,0.12,0.2,0.0,0.18,0.12,0.07,0.18,0.18,0.09,0.12,0.1,0.1,0.07,0.06,0.2,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.09,0.2,0.24,0.18,0.16,0.12,0.16,0.16
pasta con carciofi,0.06,0.08,0.06,0.08,0.12,0.11,0.08,0.14,0.14,0.16,0.0,0.0,0.07,0.0,0.0,0.0,0.16,0.07,0.0,0.16,0.06,0.16,0.22,0.16,0.06,0.15,0.12,0.0,0.06,0.12,0.18,0.11,0.1,0.18,1.0,0.18,0.08,0.2,0.12,0.14,0.06,0.11,0.14,0.05,0.11,0.1,0.1,0.18,0.11,0.07,0.12,0.19,0.0,0.22,0.12,0.07,0.18,0.18,0.08,0.11,0.1,0.14,0.14,0.0,0.19,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.08,0.19,0.22,0.12,0.08,0.11,0.15,0.19
pasta con castagne e salsiccia,0.24,0.0,0.12,0.0,0.06,0.06,0.09,0.05,0.04,0.06,0.0,0.0,0.07,0.09,0.0,0.1,0.06,0.0,0.0,0.12,0.0,0.06,0.08,0.06,0.0,0.06,0.06,0.09,0.06,0.27,0.06,0.06,0.06,0.06,0.18,1.0,0.26,0.07,0.06,0.14,0.0,0.22,0.14,0.16,0.2,0.06,0.1,0.06,0.06,0.07,0.12,0.06,0.07,0.06,0.06,0.0,0.06,0.06,0.04,0.06,0.05,0.1,0.07,0.16,0.06,0.0,0.0,0.0,0.06,0.2,0.0,0.16,0.04,0.06,0.12,0.06,0.0,0.12,0.08,0.1
