,aglio sott’olio,amarene sciroppate,apple butter,apple butter o burro di mele,basilico sott’olio,caramelle alla menta,caramelle di gelatina alla frutta,cetrioli sotto aceto,chutney di mango speziato,chutney di melanzane,chutney di pere,ciliegie sciroppate,cipolle in agrodolce con salsa di soia,cipolle rosse in agrodolce,come fare i funghi porcini sottolio in tre mosse,composta di mele pinoli e uvetta,composta di pesche alla vaniglia,composta di rabarbaro,"concentrato di pomodoro fatto in casa, la ricetta per farlo asciutto e saporito",confettura di ciliegie,confettura di fragole e semi di chia senza cottura,confettura di pere e mele allo zafferano,confettura di pesche e amaretti,confettura di pomodori verdi,conserva di fagiolini sott’olio,curd di nespole alla menta,funghi sott’olio,garam masala,giardiniera,ketchup fatto in casa,lemon curd,liquore al cedro,liquore alla menta e limone,"marmellata di arance amare senza zucchero, una ricetta anti-fame",marmellata di arance con il bimby,marmellata di ciliegie bimby,"marmellata di cipolle con il bimby, per una consistenza perfetta",marmellata di fichi e noci,marmellata di fragole,marmellata di kiwi fatta in casa,marmellata di lamponi senza zucchero,"marmellata di limoni senza buccia fatta in casa, una ricetta con poco zucchero",marmellata di prugne,marmellata di prugne e zenzero,marron glacé,melanzane sott’olio,melanzane sott’olio fatte in casa,melanzane sott’olio senza cottura,olive in salamoia,passata di pomodoro,peperoncini sott’olio,peperoni cruschi,pesche sciroppate,pomodori secchi sott’olio,pomodorini confit,"preparato per biscotti ai fiocchi d’avena, mandorle e mirtilli",rumtopf,sale al vino rosso,sale aromatizzato alle erbe,sciroppo al cioccolato,succo di mela fatto in casa,tartellette con confettura di latte e miele,uova in conserva,uva sotto spirito: come farla in casa facilmente e a basso costo,"zucca sott’olio, la ricetta di una conserva senza cottura",zucchine sott’olio
chutney di pere,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,1.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
ciliegie sciroppate,0.0,0.18,0.08,0.12,0.0,0.22,0.12,0.0,0.0,0.07,0.0,1.0,0.1,0.12,0.0,0.0,0.22,0.12,0.0,0.75,0.0,0.2,0.0,0.14,0.09,0.1,0.08,0.0,0.16,0.08,0.11,0.25,0.22,0.0,0.0,0.14,0.12,0.0,0.14,0.0,0.11,0.0,0.14,0.1,0.22,0.09,0.09,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.08,0.14,0.0,0.0,0.29,0.12,0.0,0.08,0.22,0.09,0.09
cipolle in agrodolce con salsa di soia,0.08,0.0,0.0,0.0,0.14,0.09,0.0,0.0,0.0,0.06,0.0,0.1,1.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.14,0.0,0.14,0.0,0.06,0.0,0.0,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.14,0.07,0.0,0.1,0.09,0.1,0.12,0.1,0.07,0.07,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.06,0.09,0.0,0.14
cipolle rosse in agrodolce,0.0,0.18,0.0,0.0,0.0,0.11,0.12,0.0,0.1,0.0,0.0,0.12,0.0,1.0,0.1,0.0,0.11,0.12,0.18,0.12,0.0,0.1,0.0,0.14,0.0,0.0,0.08,0.0,0.12,0.16,0.11,0.12,0.11,0.0,0.0,0.14,0.75,0.0,0.14,0.0,0.0,0.0,0.14,0.1,0.11,0.09,0.0,0.0,0.0,0.11,0.12,0.14,0.0,0.09,0.09,0.16,0.14,0.18,0.0,0.14,0.0,0.0,0.08,0.11,0.26,0.09
come fare i funghi porcini sottolio in tre mosse,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.11,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.25,0.0,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.06,0.1,0.17,0.0,0.11,0.0,0.2,0.14,0.06,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.0,0.2,0.06
composta di mele pinoli e uvetta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composta di pesche alla vaniglia,0.0,0.16,0.0,0.0,0.0,0.2,0.11,0.0,0.0,0.0,0.0,0.22,0.09,0.11,0.0,0.0,1.0,0.11,0.0,0.11,0.0,0.28,0.3,0.13,0.08,0.09,0.08,0.0,0.14,0.07,0.1,0.22,0.2,0.11,0.0,0.13,0.11,0.0,0.13,0.11,0.1,0.13,0.13,0.09,0.3,0.08,0.08,0.0,0.11,0.0,0.0,0.0,0.58,0.0,0.0,0.08,0.13,0.0,0.0,0.26,0.11,0.0,0.07,0.3,0.08,0.08
composta di rabarbaro,0.0,0.18,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.11,1.0,0.0,0.12,0.0,0.1,0.0,0.14,0.0,0.0,0.0,0.0,0.08,0.08,0.11,0.12,0.11,0.0,0.0,0.29,0.12,0.0,0.29,0.0,0.11,0.0,0.29,0.2,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.11,0.09,0.0
"concentrato di pomodoro fatto in casa, la ricetta per farlo asciutto e saporito",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.16,0.0,0.2,0.0,0.12,0.12,0.12,0.0,0.25,0.0,0.0,0.0,0.0,0.11,0.0,0.12,0.0
confettura di ciliegie,0.0,0.18,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.75,0.0,0.12,0.0,0.0,0.11,0.12,0.0,1.0,0.0,0.1,0.0,0.14,0.0,0.0,0.0,0.0,0.08,0.08,0.11,0.12,0.11,0.0,0.0,0.14,0.12,0.0,0.14,0.0,0.0,0.0,0.14,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.11,0.09,0.0
confettura di fragole e semi di chia senza cottura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confettura di pere e mele allo zafferano,0.0,0.14,0.0,0.0,0.0,0.18,0.1,0.0,0.0,0.0,0.0,0.2,0.08,0.1,0.0,0.0,0.28,0.1,0.0,0.1,0.0,1.0,0.0,0.12,0.07,0.08,0.07,0.0,0.14,0.06,0.09,0.2,0.18,0.0,0.0,0.12,0.1,0.0,0.12,0.1,0.09,0.12,0.12,0.08,0.18,0.07,0.07,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.07,0.12,0.0,0.0,0.24,0.1,0.0,0.06,0.18,0.07,0.07
confettura di pesche e amaretti,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.14,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.0,0.0,0.0,0.0
confettura di pomodori verdi,0.0,0.2,0.0,0.0,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.13,0.14,0.0,0.14,0.0,0.12,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.09,0.13,0.14,0.13,0.0,0.0,0.16,0.14,0.0,0.16,0.0,0.0,0.0,0.16,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.13,0.1,0.0
conserva di fagiolini sott’olio,0.26,0.0,0.0,0.0,0.29,0.08,0.0,0.18,0.06,0.2,0.06,0.09,0.14,0.0,0.14,0.0,0.08,0.0,0.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.34,0.0,0.14,0.0,0.0,0.09,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.42,0.31,0.06,0.09,0.16,0.34,0.1,0.09,0.48,0.12,0.0,0.0,0.0,0.0,0.1,0.09,0.0,0.11,0.08,0.06,0.42
curd di nespole alla menta,0.0,0.0,0.07,0.1,0.0,0.34,0.0,0.0,0.0,0.06,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0
funghi sott’olio,0.38,0.0,0.0,0.0,0.29,0.08,0.0,0.0,0.0,0.1,0.0,0.08,0.14,0.08,0.25,0.0,0.08,0.0,0.12,0.0,0.0,0.07,0.0,0.0,0.34,0.0,1.0,0.0,0.14,0.06,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.4,0.12,0.11,0.16,0.22,0.25,0.19,0.08,0.34,0.18,0.06,0.0,0.12,0.0,0.1,0.08,0.0,0.21,0.08,0.18,0.34
garam masala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
giardiniera,0.1,0.12,0.0,0.0,0.0,0.14,0.08,0.16,0.03,0.04,0.0,0.16,0.06,0.12,0.1,0.0,0.14,0.08,0.0,0.08,0.0,0.14,0.0,0.1,0.14,0.0,0.14,0.0,1.0,0.0,0.0,0.16,0.14,0.0,0.0,0.1,0.08,0.0,0.1,0.0,0.08,0.0,0.1,0.06,0.14,0.06,0.12,0.02,0.16,0.0,0.12,0.0,0.08,0.0,0.0,0.06,0.1,0.0,0.0,0.19,0.08,0.0,0.13,0.14,0.14,0.18
ketchup fatto in casa,0.0,0.11,0.0,0.0,0.0,0.07,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.16,0.06,0.0,0.07,0.08,0.11,0.08,0.0,0.06,0.0,0.09,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.08,0.07,0.0,0.0,0.09,0.08,0.0,0.09,0.0,0.0,0.0,0.09,0.13,0.07,0.06,0.0,0.0,0.0,0.07,0.0,0.09,0.0,0.06,0.06,0.1,0.09,0.11,0.0,0.09,0.0,0.0,0.1,0.07,0.11,0.0
lemon curd,0.0,0.16,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.1,0.11,0.0,0.11,0.0,0.09,0.0,0.13,0.0,0.18,0.0,0.0,0.0,0.0,1.0,0.11,0.1,0.0,0.0,0.13,0.11,0.0,0.13,0.0,0.0,0.0,0.13,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.13,0.0,0.0,0.13,0.0,0.14,0.07,0.1,0.08,0.0
liquore al cedro,0.0,0.18,0.0,0.0,0.0,0.22,0.12,0.0,0.0,0.0,0.0,0.25,0.1,0.12,0.0,0.0,0.22,0.12,0.0,0.12,0.0,0.2,0.0,0.14,0.09,0.0,0.08,0.0,0.16,0.08,0.11,1.0,0.22,0.0,0.0,0.14,0.12,0.0,0.14,0.0,0.11,0.0,0.14,0.1,0.22,0.09,0.09,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.08,0.14,0.0,0.0,0.29,0.12,0.0,0.08,0.22,0.09,0.09
liquore alla menta e limone,0.0,0.16,0.0,0.0,0.0,0.2,0.11,0.0,0.0,0.0,0.0,0.22,0.09,0.11,0.0,0.0,0.2,0.11,0.0,0.11,0.0,0.18,0.0,0.13,0.08,0.0,0.08,0.0,0.14,0.07,0.1,0.22,1.0,0.0,0.0,0.13,0.11,0.0,0.13,0.0,0.1,0.0,0.13,0.09,0.2,0.08,0.08,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.08,0.13,0.0,0.0,0.26,0.11,0.0,0.07,0.2,0.08,0.08
"marmellata di arance amare senza zucchero, una ricetta anti-fame",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
marmellata di arance con il bimby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.0,0.0,0.0,0.0
marmellata di ciliegie bimby,0.0,0.2,0.0,0.0,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.13,0.29,0.0,0.14,0.0,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.1,0.09,0.13,0.14,0.13,0.0,0.0,1.0,0.14,0.0,0.34,0.0,0.13,0.0,0.34,0.24,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.13,0.1,0.0
"marmellata di cipolle con il bimby, per una consistenza perfetta",0.0,0.18,0.0,0.0,0.0,0.11,0.12,0.12,0.0,0.07,0.0,0.12,0.0,0.75,0.1,0.0,0.11,0.12,0.0,0.12,0.0,0.1,0.0,0.14,0.09,0.0,0.0,0.0,0.08,0.08,0.11,0.12,0.11,0.0,0.0,0.14,1.0,0.0,0.14,0.0,0.0,0.0,0.14,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.14,0.0,0.08,0.14,0.0,0.0,0.0,0.11,0.09,0.0
marmellata di fichi e noci,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
marmellata di fragole,0.0,0.2,0.0,0.0,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.13,0.29,0.0,0.14,0.0,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.1,0.09,0.13,0.14,0.13,0.0,0.0,0.34,0.14,0.0,1.0,0.0,0.13,0.0,0.34,0.24,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.13,0.1,0.0
marmellata di kiwi fatta in casa,0.0,0.0,0.08,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.1,0.14,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.24,0.0,1.0,0.0,0.29,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.08,0.0,0.0,0.0,0.0
marmellata di lamponi senza zucchero,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.13,0.09,0.0,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0.11,0.1,0.0,0.0,0.13,0.0,0.0,0.13,0.0,1.0,0.0,0.13,0.09,0.1,0.08,0.08,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.11,0.0,0.07,0.1,0.0,0.08
"marmellata di limoni senza buccia fatta in casa, una ricetta con poco zucchero",0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.0,0.0,0.0,0.0
marmellata di prugne,0.0,0.2,0.0,0.0,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.13,0.29,0.0,0.14,0.0,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.1,0.09,0.13,0.14,0.13,0.0,0.0,0.34,0.14,0.0,0.34,0.0,0.13,0.0,1.0,0.24,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.13,0.1,0.0
marmellata di prugne e zenzero,0.0,0.14,0.07,0.37,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.09,0.2,0.0,0.1,0.0,0.08,0.0,0.12,0.0,0.0,0.0,0.0,0.06,0.13,0.09,0.1,0.09,0.0,0.0,0.24,0.1,0.19,0.24,0.22,0.09,0.0,0.24,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.0,0.0,0.12,0.26,0.0,0.0,0.09,0.07,0.0
