Ingrediente Planeat;Ingrediente Dissapore;Match Value
colomba pere e cioccolato;erba cipollina i fiori;0
cipolla rossa;colorante alimentare;0
biscotti petit;fragola a fettine;0
tortiglioni integrali;caciocavallo stagionato grattugiato;0
prosciutto crudo di parma crumble;latte di soia;0
carote rondelle surgelate;triple sec;0
pane in cassetta affettato;oliva denocciolate sottolio;0
lombo di suino intenerito;rollini al cioccolato;0
salmone affumicato con erba cipollina;liquore all'anice;0
pesto artigianale senza aglio;amarene sotto spirito;0
insalata mista;vaniglia bourbon estratto;0
melone;sedano comprese le foglie;0
filetto di pollo per cotoletta;noodles di frumento;0
ceci bio ammollati;bicarbonato;0
zucchero semolato bianco;limone (la scorza grattugiata);0
insalata songino;lievito lievito di birra fresco;0
accessori;carne arrosto;0
noce bovino adulto fette;gamberone (o mazzancolle);0
sedano;melanzana viola;0
origano essiccato;ricotta vaccina o formaggio fresco quark;0
patate cubettate;tartufo nero scorzone;0
decorazioni in zucchero;cipolline;0
gnocchetti sardi;risotto avanzato;0
manzo julienne;melagrana i chicchi;0
pizza margherita;grana padano grattuggiato;0
verdure cubettate per ortolana;pepe macinato;0
trito per soffritto;zenzero radice fresca grattugiata;0
polenta precotta;menta;0
filetto di pollo;riso originario;0
aglio spicchi pulito;formaggio di pecora fresco;0
fettuccine alla curcuma;pane per burger;0
salmone affumicato;prosciutto crudo, in un'unica fetta;0
rosmarino fresco;cavoli cappuccio viola;0
lonza cotta al forno;prezzemolo fresco o secco tritato;0
salsiccia di suino tagliata;mandorla a lamelle;0
carote cubettate;calamaro;0
olio di semi di girasole;uova di quaglia;0
granella di pistacchio;pangrattato;0
gnocchi di patate;semi misti;0
salsa di pomodoro artigianale pronta;asparago già puliti dalle parti legnose;0
tortiglioni;manzo a fette sottili;0
casera valtellina tocchetti;patate medie;0
tentacoli tagliati cotti di totano;lievito della tradizione (miscela di bicarbonato e cremor tartaro);0
pere conference;pane casereccio senza crosta;0
orata eviscerata (circa 400 g);panna fresca liquida;0
gnocchetti sardi;carne noce di vitello;0
provolone dolce;uovo grande;0
pera kaiser;pasta di tipo linguine;0
basilico fresco;seppia già pulite;0
carote pelate;salame ungherese;0
sedano mondato;formaggio toma grattugiata;0
pancetta arrotolata affettata;parmigiano reggiano a scaglie;0
code gambero argentino;piselli (freschi o surgelati);0
paillard di scamone;ricotta di pecora salata;0
decorazioni in zucchero;branzino;0
gamberetti sgusciati e devenati;pancetta di maiale;0
carne salata;gamberone (o mazzancolle);0
mix casera dop/parmigiano 24 mesi;origano secco;0
cavolini di bruxelles cotti;limone la scorza grattugiata e il succo;0
cuore lombo di suino intenerito (200 g);formaggio cacioricotta;0
branzino eviscerato (circa 400 g);noce moscata;0
pomodoro grappolo;cioccolato in scaglie;0
limone 1 pz 100/130 g;limoni non trattati, la scorza grattugiata;1
cime di rapa surgelate;patate di media grandezza;0
rigatini;scorfano;0
cipolla rossa;basilico fresco;0
sale marino fino iodato;anice semi;0
tentacoli tagliati cotti di totano;mandorle a lamelle tostate;0
manzo julienne;tè al ginger, liquirizia e rose;0
rucola;nocciola per decorare;0
polpo cotto tagliato;ricotta di pecora salata;0
fuso di pollo (220 g);uova di quaglia;0
bastoncini di carote lavati e mondati;parmigiano grana padano;0
cuore lombo di suino intenerito (200 g);pecorino sardo;0
cipolla rossa;pera william;0
avocado hass fette;nocciola sgusciate e tostate;0
arrosticini di pecora decongelati origine italia;biscotti digestive;0
insalata songino;tonno fresco;0
rosette cavolfiori cotte;prezzemolo fresco, solo le foglie;0
carote pelate;pepe nero amcinato fresco;0
pennette quadrate;cavatelli;0
tortiglioni cotti;yogurt bianco 0,1% di grassi;0
ananas cubetti per spiedini;albumi montati a neve;0
bresaola punta d'anca affettata;avocado maturo;0
financier al cioccolato;peperoncino freschi piccanti;0
pasta per pizza con farina integrale;fagiolo cannellini;0
pane per hambuger ai semi di papavero;uova , tuorli e albumi separati;0
pomodori secchi;ricotta fresca vaccina;0
bacche di ginepro;avocado;0
cotechino cotto;zucchero a velo per spolverare;0
fettina di salmone con panatura al pistacchio;mandorle sgusciate non pelate;0
cetriolo;pera williams;0
maggiorana;amarena sciroppata;0
pomodoro grappolo spicchi;pandoro raffermo;0
sedano rapa;melanzana grandi striate;0
pomodori ciliegini lavati;peperoncino in pasta;0
ragù e provola;formaggio fresco a piacere;0
petti di pollo;cipolla grossa;0
succo di limone;cocco liofilizzato;0
passata di pomodoro;farina di semola rimacinata di grano duro;0
mix prosciutto e formaggio;sedano verde con tutte le foglie;0
fettina di spada impanata;panna semi montata;0
spaghetti integrali cotti;yogurt intero bianco;0
filetto di scamone;lenticchie secche mignon;0
salsa di soia e miele;lievito di birra liofilizzato;0
fettina di pesce spada fresco 150 gr;zenzero a fettine, fresco;0
insalata cicoria milano;salame milano, fette sottili;0
tonno pinne gialle con granella di pistacchi e mandorle;parmigiano grana padano;0
filetti di pollo per scaloppe;alici filetti sottolio;0
rosette di cavolfiori;curcuma in polvere colmo;0
mela golden melinda;gambero argentini;0
salsiccia di suino luganica;ricotta di pecora salata;0
rosette di broccoli freschi;patate bollite;0
provolone dolce;noodles di frumento;0
mela golden cubettata;cioccolato fondente a scaglie;0
filetto di pollo;confettura di arance;0
ciuffi di calamari surgelati;carne di castrato;0
pesto di spinaci;cipollotto piccolo;0
cipolla tritata;patata rossa;0
ravioli di gambero;pasta di vaniglia;0
farro perlato;agretti;0
fettina di fesa di vitello;olio di semi per fritture;0
pomodoro grappolo affettato;paprika affumicata;0
spumante;sedano costa;0
crespella;pasta fresca per lasagne;0
zucchero semolato bianco;zucchine medie;0
carote e asparagi;carne macinato;0
spaghettoni cotti;cetriolino sottaceto;0
speck julienne;senape in grani;0
filetto di gallinella;fettuccine;0
gnocchi alla romana;panettone salato;0
prosciutto crudo di parma crumble;gnocchi di patate;0
vino bianco;porro la parte bianca;0
prosciutto crudo di parma crumble;nocciola in pasta;0
mazzancolla tropicale;pollo alette;0
peperoni cubettati;ceci già lessati;0
filetto di scamone;frutti di bosco (anche surgelati);0
salsiccia di suino luganica;cipolla di tropea;0
zucca cubo surgelata;zucchine piccole;0
arrosto di fesa di tacchino;pesca bianche;0
spaghetti integrali cotti;asparago bianco;0
carote rondelle cotte;patate bollita;0
radicchio rosso julienne;cioccolato bianco senza glutine;0
farina di ceci;panini;0
zucchero semolato;pomodoro costoluto;0
ravioli di brasato;arancia la scorza non trattata;0
patate cubettate cotte;patate di media grandezza;0
arrostoni con vitello;burro di soia;0
cipolla spicchi;pasta di zucchero;0
pomodoro grappolo affettato;vitello girello a fette;0
fagioli cannellini bio cotti;nocciola granella;0
spada fresco;mandorla a scaglie;0
guanciale cubettato;aceto;0
cubetti di caciocavallo dop silano;farina di mais bianco macinata, per la panatura;0
salsiccia di suino luganica;pasta gnocchi di riso cinesi;0
cetriolo;pecorino romani;0
carne salata;pancetta tesa;0
pomodoro grappolo affettato;grano precotto;0
fettuccine alla curcuma;besciamella pronta;0
pomodori datterini lavati;limone non trattato, la buccia;0
magatello di vitello;formaggio di capra semi stagionato;0
miele di acacia italiano biologico (500g);pepe bianco macinato fresco;0
tagliatelle secche all'uovo;cavolfiore giallo;0
ragù e provola;arancia rossa;0
salsa di soia e miele;marshmallow grandi per le orecchie;0
fesa di tacchino;radicchio tardivo;0
cubetti di pesce spada;confettura di frutti di bosco;0
carne salada a fette;pancetta dolce a cubetti;0
zucchine a fette per rotolini (4pz x20gr);lenticchie già cotte in padella con aromi;0
avocado hass;zucca lessa;0
fusilli integrali cotti;colorante alimentare dorato;0
succo di limone;amido di mais;0
formaggio grattugiato fresco;fagiolo rossi;0
cime di rapa cotte;oliva verdi farcite;0
girella di salsiccia;fagiolo cannellini secchi;0
banana chiquita;tarallo ai cereali o integrali;0
pane in cassetta;arancia la buccia grattugiata;0
acciughe in olio di girasole;crema di nocciole;0
mascarpone;acqua sbucciato;0
acciughe in olio di girasole;vaniglia (i semi);0
casera valtellina dop scagliette;tè verde in foglie;0
farro perlato;aneto;0
fagiolini cotti;farina di mais fumetto;0
pasta di salsiccia;pasta secca per lasagne;0
fettina di lonza xl;melanzana tonda viola;0
origano essiccato;ricotta vaccina;0
sottofesa manzo;scamorza fresca;0
fiocchi di mais;pancetta di maiale;0
farro perlato cotto;torrone bianco duro;0
mozzarella fiordilatte;mela golden o gala;0
pepe rosa in grani;quinoa in fiocchi;0
pane per hambuger al sesamo;pane casereccio tostato;0
crocchette di patate;chiodi di garofano;0
gazpacho;grappa;0
olive verdi giganti;uvetta di corinto;0
baffa di salmone fresco;salsa di pomodoro;0
origano essiccato;formaggio crescenza;0
maionese;amarene;0
provola affumicata;pollo fusi;0
aceto di mele;amaretto di saronno;0
spaghetti integrali cotti;farina integrale;0
chiodi di garofano;fiori di zucca;0
salvia fresca;vaniglia estratto;0
salmone affumicato julienne;pancetta affumicata a dadini;0
ceci bio ammollati;lievito (facoltativo);0
alette di pollo marinate (4 pz);polpetta di carne al sugo;0
crema di pomodori fresca;salsa di pomodoro;0
farina di grano tenero 00;farina di orzo integrale;1
pomodori ciliegini;pomodori da sugo;1
maionese;formaggio crescenza;0
aglio tritato;sale fino integrale;0
asparagina;wasabi;0
salsa tonnata;faraona;0
pizza margherita;pera di agerola;0
fettina di spada impanata;semola di grano duro rimacinata;0
fagioli cannellini bio cotti;fagiolo borlotti;1
pennette cotte;peperoncino chipotles;0
farina 00;farina mix manitoba e 00;1
granella di mandorle;arance candite (scorze);0
cipolla rossa;pollo intero;0
prosciutto crudo di parma dop affettato;prosciutto cotto a dadini;1
cipolla rossa;nocciola sgusciate;0
ravioli di gambero;olio di semi di sesamo;0
casera valtellina tocchetti;caciocavallo a cubetti;0
salmone affumicato;limone per i carciofi;0
broccoli freschi;fico secchi;0
cavolo rosso;cavoli;1
aglio spicchi pulito;pomodoro secchi sottolio;0
fiocchi di mais;pistacchi in granella;0
riso basmati cotto;olio di cocco;0
fettina di lonza xl;semi di lino;0
cuore di scamone;semi di chia;0
tomino del boscaiolo;olio di cocco;0
financier al cioccolato;ovetto di cioccolato;0
pepe nero in grani;peperoncino secco in scaglie;0
banana chiquita;ananas centrifugato;0
pepe nero in grani;alga nori in fogli;0
fettine di tacchino;semi di zucca;0
giardiniera;gallina;0
cumino macinato;cedro candito;0
olio extravergine di oliva;farina di soia;0
cavolo rosso;riso carnaroli o arborio;0
polpo cotto tentacoli;ovetto confettati colorati;0
cumino macinato;rosmarino tritato;0
julienne di totano;pane toscano;0
salmone fresco cubettato;limone non trattato;0
tortiglioni;mirtillo;0
scamone;scamorza fresca;0
melanzane cubettate;melagrana;0
panettone gourmet;patate novella;0
patate cubettate small;pancetta steccata;0
riso carnaroli;pesca noci;0
filetto di pollo;latte di mandorla;0
colomba pere e cioccolato;tonno in scatola (peso sgocciolato);0
fiocchi di mais;pistacchi (ridotti a farina);0
petti di pollo;patè di oliva nere;0
semi di sesamo;salsa di soia;0
zucchine e porri;zucchina se possibile chiara;1
farro perlato cotto;anatra petto;0
riso basmati cotto;riso per risotto;1
patate cubettate;latte consensato;0
scamone;sesamo semi;0
rice crispies al cacao;ricotta fresca;0
spinacino fresco lavato;sarda fresca;0
fagiolini surgelati;funghi porcini secchi;0
olio di semi di girasole;coriandolo semi in polvere;0
porro a rondelle;mora fresche;0
radicchio rosso a spicchi;aglio 1/4 di spicchio;0
trofie fresche;pasta tipo pappardelle fresche;0
pizza base bianca;uva bianca;0
patate;orata;0
spinaci surgelati;panini da hamburger;0
pane in cassetta affettato;pane senza sale;0
salmone fresco cubettato;lime non trattato;0
filetto di pollo;acciughe in filetti sottolio;0
ricotta salata;biscotti ai cereali tritati;0
aceto di mele;succo di limone;0
quarto di limone;marmellata di ciliegie;0
scamone per trita;cappero sottosale;0
asiago fresco dop;lampone freschi;0
olio di semi di girasole;chiodi di garofano;0
mazzancolla tropicale decongelata;cipolla tritata;0
pomodori ciliegini tagliati a spicchi;pomodori polpa in cubetti;0
bacon;pepe bianco;0
olive verdi a rondelle;passito di pantelleria;0
cime di rapa cotte;aceto di lamponi;0
peperoncino frantumato;cotechino precotto;0
filetto di nasello;macinato di manzo;0
zucchine grigliate;zucca al netto degli scarti;0
pepe nero macinato;vino moscato;0
broccoli cubettati;noci gherigli tostati;0
aglio a fette;pasta sfoglia rettangolare;0
bocconcini di tacchino;canditi di agrumi;0
farina di ceci;farina di mais fumetto;1
patate;pera abate;0
formaggio pecorino romano;formaggio robiola;0
trito per soffritto;riso per sushi;0
coda di rospo congelata;cipolla di tropea piccola;0
patate cubettate;patate piccole;1
semi di sesamo;semi di chia;0
cipolla tritata;cipolla grossa;1
calamarata;calamaro puliti;1
colomba pere e cioccolato;crema al cioccolato;0
polenta precotta;grano precotto;0
pasta corta;pasta kataifi;0
provolone dolce;pancetta dolce;0
pepe nero macinato;pepe nero della malesia;1
fiori di zucca;fiori di salvia;0
cavatelli freschi;salvia fresco;0
pomodori datterini;pomodori verde;0
pecorino artiginale;pecorino romano grattugiato;1
fusilli integrali;farina integrale;0
vongole veraci;vongole congelate;1
salmone fresco cubettato;salmone già abbattuto;1
insalata cicoria milano;salsa di soia bio;0
insalata novella;insalata;1
magatello di vitello;carne di pollo o di vitello;0
germogli di soia;olio di semi;0
carote;cappero;0
granella di mandorle;grand marnier;0
latte di cocco;latte intero fresco;0
melanzane cubettate;manzo carne trita;0
fesa di vitello;vitello;0
carote fiammifero;carote viola;0
pomodori secchi;pomodoro verde;0
fagioli di spagna;fiori di salvia;0
panna fresca;avena crusca;0
formaggio grattugiato fresco;pecorino grattugiato;0
rosmarino fresco;origano fresco tritato;0
vino bianco;cipolla bianca;0
alette di pollo;latte di soia;0
pesto di spinaci;pasta di pistacchio;0
bacon;tabasco;0
salmone affumicato;salame piccante;0
salsa di fichi (120g);salsa di soia chiara;0
capasanta atlantica fresca;panna fresca;0
fegato vitello fresco;lievito fresco;0
dischetti cioccolato fondente extra;crema di nocciole con cioccolato fondente;0
fesa di vitello;carne noce di vitello;0
pane grattugiato;zenzero grattugiato fresco;0
carote julienne;carote già pulite;0
mela golden;mela verde;1
pecorino romano grattugiato;pepe nero grattugiato;0
capasanta atlantica fresca;menta glaciale fresca;0
pizza base bianca;farina bianca;0
farina di ceci;fiori di zucchina;0
formaggio stagionato julienne;formaggio tipo toma;0
pepe nero macinato;maiale macinato;0
mozzarella fiordilatte;mozzarella da 250 g;1
salsa verde;salsa di pesce;0
pomodoro grappolo;pomodori salsa;0
pepe nero in grani;pepe nero;1
pomodori ciliegini;pomodori verdi;0
bocconcini di pane;brodo di carne;0
fiori di zucca;fiori eduli;0
carote;cappero;0
spinaci e ricotta;spinaci purea;0
farina di grano tenero 00;farina bianca 00;1
zucchine a fette;speck in fette;0
alette di pollo;brodo di pollo;0
pepite di formaggio stagionato;formaggio tipo toma;0
maionese artigianale;mais farina;0
pasta di salsiccia;pasta sfoglia;0
insalata milano tagliata;insalata a piacere;1
cipolla spicchi;polpo piccoli;0
zucchine fiammifero;zucchine rotonda;1
passata di pomodoro;pasta di grano duro;0
spada fresco;fava fresche;0
