"id","ingredient_name","prime_item_id"
"1726","calamarata",""
"3111","canederli planeat",""
"448","capasanta atlantica fresca",""
"2246","capasanta polpa atlantica decongelata",""
"426","capperi e olive taggiasche",""
"415","capperi lacrimella in aceto",""
"1447","carciofi a spicchi surgelati",""
"3317","carne salada a fette","3316"
"3316","carne salata",""
"323","carne trita di bovino e suino",""
"2942","carne trita scelta di bovino","256"
"2929","carote",""
"146","carote cubettate","234"
"2284","carote cubettate cotte",""
"502","carote e asparagi",""
"464","carote e zucchine cubettate",""
"1758","carote e zucchine cubettate  cotte",""
"1829","carote fiammifero","234"
"63","carote julienne","234"
"3177","carote pelate","2929"
"234","carote pelate","2929"
"2931","carote rondelle cotte",""
"1465","carote rondelle surgelate",""
"2936","casera valtellina dop","1137"
"1137","casera valtellina dop",""
"1138","casera valtellina dop scagliette","1137"
"1265","casera valtellina fette","1137"
"3074","casera valtellina tocchetti","1137"
"3085","catalogna",""
"3086","catalogna cotta",""
"2192","cavatelli freschi",""
"2492","cavoletti bruxelles",""
"3016","cavolfiore grattugiato","206"
"333","cavolfiori",""
"931","cavolfiori cubettati","333"
"2935","cavolini di bruxelles cotti",""
"1974","cavolini di bruxelles surgelati",""
"2738","cavolo cappuccio rosso julienne","2705"
"2705","cavolo rosso",""
"1739","ceci bio",""
"3186","ceci bio ammollati",""
"1766","ceci bio cotti",""
"1719","cetriolo",""
"1720","cetriolo a fette","1719"
"2364","cheesecake con coulis ai frutti di bosco",""
"2201","chiodi di garofano",""
"1200","ciabattina di semola di grano duro",""
"1519","ciliegine di mozzarella",""
"2937","cime di rapa cotte",""
"1439","cime di rapa surgelate",""
"1860","cime fresche lavate e mondate",""
"238","cipolla",""
"6","cipolla affettata","238"
"1222","cipolla rossa",""
"1223","cipolla rossa affettata","1222"
"336","cipolla spicchi","238"
"3179","cipolla spicchi","238"
"45","cipolla tritata","238"
"1727","ciuffi di calamari surgelati",""
"1887","coda di rospo congelata",""
"1761","code di gambero argentino cotte",""
"942","code gambero argentino",""
"3024","code gambero argentino battute a coltello","2963"
"2963","code gambero argentino decongelate","942"
"1180","colomba nocciole e cioccolato",""
"1181","colomba pere e cioccolato",""
"599","confettura extra albicocche 65% frutta",""
"603","confettura extra fragole 65% frutta",""
"605","confettura extra mirtilli 65% frutta",""
"601","confettura extra pesche 65% frutta",""
"2978","coppa di parma igp",""
"2979","coppa di parma igp  affettata","2978"
"2844","cordon bleu",""
"167","coscia di pollo aperta (350-400 gr circa)",""
"1779","coscia di pollo disossata (150-200gr)",""
"3415","cosciotto di agnello cotto a bassa temperatura",""
"3414","cosciotto di agnello fresco disossato",""
"2939","coste cotte",""
"1632","coste surgelate",""
"1017","cotechino",""
"1018","cotechino cotto",""
"717","couscous",""
"3017","cous cous di cavolfiore",""
"721","cozze",""
"2900","crema di latte",""
"2512","crema di parmigiano",""
"1403","crema di pomodori fresca",""
"2278","crespella",""
"1543","crocchette di patate",""
"1228","crostini all'olio di oliva",""
"573","cubetti di caciocavallo dop silano","430"
"900","cubetti di cuore di merluzzo nordico","1030"
"558","cubetti di pesce spada","449"
"2769","cubetti di pesce spada decongelato","1663"
"2184","cubetti di pesce spada per spiedini","449"
"2185","cubetti di tonno per spiedini","996"
"1176","cumino macinato",""
"3250","cumino semi",""
"1030","cuore di merluzzo nordico",""
"40","cuore di scamone","256"
"783","cuore di scamone  alle erbe aromatiche",""
"1117","cuore di scamone con granella di pistacchi e mandorle",""
"2699","cuore lombo di suino intenerito (200 g)","2698"
"2991","cuori di borragine",""
"1571","curcuma macinata",""
"1041","curry madras",""
"3070","dadini di brasato",""
"635","dadolata di verdure per zucchine",""
"1786","dado vegetale allo zafferano fatto da noi",""
"896","dado vegetale fatto da noi",""
"2217","decorazioni in zucchero",""
"3078","dischetti cioccolato bianco",""
"1098","dischetti cioccolato fondente extra",""
"3166","dischetti di semolino",""
"276","ditalini rigati",""
"2047","ditalini rigati per pastina in brodo",""
"909","dorato moscato vivace provincia di pavia igt cantina travaglino",""
"1530","emmenthal bavarese",""
"1531","emmenthal bavarese cubettato","1530"
"912","erba cipollina",""
"781","erbe aromatiche",""
"440","erbette verdi fresche mondate",""
"1735","fagioli borlotti bio",""
"1765","fagioli borlotti bio cotti",""
"1737","fagioli cannellini bio",""
"1754","fagioli cannellini bio cotti",""
"1703","fagioli di spagna",""
"2956","fagiolini cotti",""
"1474","fagiolini surgelati",""
"1483","fantasia mediterranea bonduelle",""
"105","farfalle",""
"988","farina ""00""",""
"1390","farina di ceci",""
"182","farina di grano tenero ""00""",""
"1324","farro perlato",""
"1417","farro perlato cotto",""
"2484","fave secche spezzate",""
"3082","fegato vitello fresco",""
"419","fesa di tacchino",""
"1594","fesa di tacchino cotta al forno",""
"240","fesa di vitello",""
"1448","feta",""
"2487","feta a fette",""
"2486","feta a fette","1448"
"1449","feta cubettata","1448"
"330","fettina di fesa di vitello","240"
"2966","fettina di lonza xl","320"
"450","fettina di pesce spada fresco","449"
"3404","fettina di pesce spada fresco 150 gr","449"
"1237","fettina di salmone con panatura al pistacchio",""
"1405","fettina di spada impanata",""
"3297","fettina di tonno pinne gialle","996"
"997","fettina di tonno pinne gialle","996"
"3419","fettina di tonno pinne gialle","996"
"431","fettine di caciocavallo dop silano","430"
"3416","fettine di cosciotto di agnello cotto a bassa temperatura",""
"2965","fettine di lonza","320"
"2967","fettine di lonza","320"
"2958","fettine  di pollo","239"
"1394","fettine di pollo da grigliare","239"
"1236","fettine di salmone","237"
"420","fettine di tacchino","419"
"1227","fettuccine alla curcuma",""
"1226","fettuccine integrali multicereali",""
"1031","filetti di cuore di merluzzo nordico","1030"
"2347","filetti di cuore di merluzzo nordico scottato","1030"
"2959","filetti di pollo per scaloppe","239"
"1762","filetto di branzino  (100/120 g)",""
"2683","filetto di gallinella",""
"1388","filetto di nasello",""
"1764","filetto di orata fresco (100/120 g )",""
"1252","filetto di pesce persico",""
"2996","filetto di platessa impanato",""
"2870","filetto di pollo","239"
"1393","filetto di pollo per cotoletta","239"
"2223","filetto di scamone","256"
"2644","filetto di scorfano",""
"3420","filetto di trota salmonata senza pelle  200/220",""
"1663","filone di spada gelo s/p",""
"1730","filone di tonno surgelato",""
"1857","filone mozzarella",""
"2943","filone mozzarella fette","1857"
"2655","financier al cioccolato",""
"243","finocchi",""
"1936","finocchietto selvatico",""
"385","finocchi julienne","243"
"53","finocchi mondati","243"
"1199","finocchio a spicchi","243"
"711","fiocchi di mais",""
"1000","fiori di zucca",""
"1214","focaccina tonda",""
"3091","fonduta al taleggio",""
"538","formaggio grattugiato fresco",""
"71","formaggio grattugiato fresco","244"
"375","formaggio grattugiato fresco (100 g)",""
"249","formaggio pecorino romano",""
"2755","formaggio spalmabile",""
"2763","formaggio spalmabile  100 g",""
"422","formaggio stagionato  julienne","244"
"388","fragole (300g)",""
"3309","fragole candonga",""
"774","funghi champignon crema",""
"775","funghi champignon crema affettati","774"
"3011","funghi orecchiette",""
"3012","funghi orecchiette mondati","3011"
"3009","funghi pioppini",""
"3010","funghi pioppini mondati","3009"
"978","funghi porcini",""
"102","fusilli",""
"2907","fusilli cotti",""
"331","fusilli integrali",""
"2911","fusilli integrali cotti",""
"1725","fusilli tricolore",""
"2930","fusilli tricolore cotti",""
"1208","fuso di pollo (220 g)",""
"1636","gamberetti sgusciati e devenati",""
"2680","gazpacho",""
"1689","germogli di soia",""
"3073","giardiniera",""
"212","girella di salsiccia","251"
"99","gnocchetti sardi",""
"3418","gnocchi alla romana",""
"44","gnocchi di patate",""
"353","gorgonzola dop cubetti","144"
"144","gorgorzola dop dolce",""
"94","granarolo burro italiano",""
"1065","granella di mandorle",""
"1064","granella di pistacchio",""
"656","gratinatura",""
"171","gratinatura mare",""
"246","guanciale",""
"2","guanciale cubettato","246"
"2855","hamburger bovino",""
"2729","hamburger di manzo (100 gr)",""
"2728","hamburger di manzo (150gr)",""
"3313","hamburger di pollo",""
"2751","hamburger di tacchino (150 gr)",""
"2934","hummus",""
"1206","impasto per tortino di spada",""
"3105","impegno",""
"329","insalata cicoria milano",""
"60","insalata milano tagliata","329"
"1454","insalata mista",""
"328","insalata mista",""
"764","insalata novella",""
"766","insalata songino",""
"1532","insalatina di verdure",""
"2794","julienne di totano","2787"
"2497","latte di cocco",""
"80","latte uht ps",""
"1738","lenticchie verdi bio",""
"1767","lenticchie verdi bio cotte",""
"734","lievito biologico per dolci a base di cremor tartaro  senza fosfati",""
"51","limone",""
"613","limone 1 pz  100/130 g",""
"62","limone 1pz  100/130 g (circa 40ml di succo)",""
"393","linguine",""
"2917","linguine cotte",""
"2698","lombo di suino intenerito",""
"1492","lonza  cotta al forno",""
"3112","lonza  cotta al forno venata allo speck",""
"1462","lonza cotta al vapore",""
"320","lonza suino nazionale",""
"2899","luna by planeat.eco - bianco frizzante cortese igt (pv)",""
"394","lupini",""
"999","magatello di vitello",""
"778","maggiorana",""
"1508","maionese",""
"969","maionese artigianale",""
"1325","mais",""
"2499","mandorle pelate",""
"1630","manzo julienne","576"
"1843","marsala semi secco",""
"2901","marte by planeat.eco - rosso mosso croatina igt (pv)",""
"3092","mascarpone",""
"1095","mazzancolla tropicale",""
"2960","mazzancolla tropicale decongelata","1095"
"389","mazzancolle senza testa",""
"24","mela golden",""
"2286","mela golden cubettata","25"
"25","mela golden melinda",""
"245","melanzane",""
"465","melanzane cubettate","245"
"750","melanzane grigliate","245"
"215","melanzane tagliate a rondelle","245"
"457","melone",""
"2840","melone tagliato fettine  pronto al consumo","457"
"459","melone tagliato pronto al consumo","457"
"165","menta",""
"107","mezze penne",""
"2909","mezze penne cotte",""
"2228","miele",""
"3072","miele di acacia italiano biologico (500g)",""
"1964","mirto",""
"1458","misto funghi con porcini congelati",""
"2957","misto funghi con porcini cotti",""
"1148","mix casera dop/parmigiano 24 mesi",""
"862","mix di legumi e cereali",""
"1866","mix per torta salata",""
"2477","mix prosciutto e formaggio",""
"2193","mortadella bolognese i.g.p",""
"2226","mousse zola e noci",""
"2802","mozzarella artigianale sfoglia 500 gr",""
"663","mozzarella di bufala 125 g",""
"740","mozzarella di bufala a fette",""
"364","mozzarella di bufala mammarella",""
"676","mozzarella fiordilatte",""
"363","mozzarella  granarolo",""
"382","mozzarella julienne",""
"547","nettare bio almaverde - albicocca",""
"321","noce bovino adulto",""
"1596","noce bovino adulto fette","321"
"1605","noci",""
"2793","noci tritate","1605"
"673","nodini fiordilatte",""
"1419","nodini fiordilatte a fette","673"
"92","nutella ferrero",""
"640","olio di semi di girasole",""
"2800","olio extravergine di oliva",""
"3","olio extra vergine di oliva bio levante",""
"1443","olive nere rondelle",""
"158","olive taggiasche",""
"1444","olive verdi a rondelle",""
"917","olive verdi giganti",""
"2182","orata eviscerata (circa 400 g)",""
"414","orecchiette fresche",""
"175","origano essiccato",""
"1326","orzo perlato",""
"1669","orzo perlato  cotto",""
"190","ossobuco di vitello",""
"559","paccheri",""
"2417","paillard di scamone","256"
"3191","pancake planeat",""
"2988","pancetta arrotolata",""
"2989","pancetta arrotolata affettata","2988"
"1856","pane bianco",""
"315","pane grattugiato",""
"2749","pane in cassetta",""
"3192","pane in cassetta affettato",""
"1014","pane per hambuger ai semi di papavero",""
"1013","pane per hambuger al sesamo",""
"3110","pane raffermo",""
"3184","pane rustico affettato","3183"
"3183","pane rustico filone",""
"2218","panettone gastronomico vuoto già tagliato",""
"3020","panettone gourmet",""
"2767","panna fresca",""
"401","panna fresca da montare",""
"1880","pappardelle secche all'uovo",""
"2491","paprika",""
"244","parmigiano reggiano",""
"5","passata di pomodoro","2148"
"2148","passata di pomodoro 100% italia",""
"1244","pasta corta",""
"380","pasta di salsiccia","251"
"645","pasta fresca all'uovo precotta surgelata",""
"390","pasta per pizza",""
"2048","pasta per pizza con farina integrale",""
"1132","pasta sfoglia decongelata cruda",""
"1336","pastrami",""
"247","patate",""
"563","patate al forno fatte da noi!",""
"2798","patate asparagi e scalogno",""
"3023","patate cubettate",""
"56","patate cubettate","247"
"2938","patate cubettate  cotte",""
"756","patate cubettate per forno","247"
"204","patate cubettate small","247"
"2285","patate cubettate small cotte",""
"3026","patate e zucchine cubettate",""
"1539","patate in fiocchi",""
"1672","patate julienne","247"
"1923","patate lamelle","247"
"1743","patate prezzemolate",""
"343","patate rondelle","247"
"2973","pecorino artiginale",""
"255","pecorino romano grattugiato","249"
"2912","penne integrali cotte",""
"1747","penne rigate integrali",""
"4","pennette",""
"2910","pennette cotte",""
"936","pennette quadrate",""
"804","pepe nero in grani",""
"9","pepe nero macinato",""
"1038","peperoncino frantumato",""
"1191","peperone bastoncino","248"
"248","peperoni",""
"751","peperoni cotti al forno senza pelle","248"
"345","peperoni cubettati","248"
"2490","peperoni e carote cubettati",""
"217","peperoni tagliati a filetti","248"
"777","pepe rosa in grani",""
"1943","pepe verde in salamoia",""
"2365","pepite di formaggio stagionato",""
"184","pepite di formaggio stagionato 24 mesi","244"
"2995","pera kaiser",""
"737","pere carmen",""
"2581","pere conference",""
"1724","pesca nettarina",""
"14","pesto artigianale",""
"561","pesto artigianale senza aglio",""
"1969","pesto di spinaci",""
"2866","pesto pregis",""
"239","petti di pollo",""
"1406","petto di pollo grigliato julienne",""
"2179","piadina",""
"3331","piadina integrale",""
"250","pinoli",""
"1173","pirottini",""
"3174","pisarei",""
"1022","piselli cotti",""
"2677","piselli finissimi surgelati",""
"2818","pizza base bianca",""
"2947","pizza  margherita",""
"2665","pizza trancio margherita","2947"
"1136","pizzoccheri valtellinesi igp",""
"3046","platessa",""
"892","polenta precotta",""
"3025","polpa di merluzzo nordico tritato","1030"
"2510","polpette primbeef",""
"2962","polpo  cotto",""
"1618","polpo cotto tagliato","2962"
"2760","polpo  cotto tentacoli","2962"
"991","polpo decongelato",""
"341","pomodori ciliegini",""
"39","pomodori ciliegini lavati","341"
"3181","pomodori ciliegini lavati","341"
"1401","pomodori ciliegini rondelle","39"
"1232","pomodori ciliegini tagliati a spicchi","39"
"496","pomodori datterini",""
"497","pomodori datterini lavati","496"
"1369","pomodori datterini rondelle","497"
"934","pomodori secchi",""
"177","pomodoro grappolo",""
"2944","pomodoro grappolo affettato","177"
"2841","pomodoro grappolo lavato","177"
"2852","pomodoro grappolo spicchi","2841"
"1134","porro a rondelle","1113"
"1113","porro origine italia",""
"1114","porro origine italia mondato e lavato","1113"
"1043","preparato per hamburger e polpette di legumi al curry",""
"1721","preparato  per panzanella",""
"1054","preparato per pollo al curry",""
"1294","preparato per polpettine di legumi",""
"36","prezzemolo fresco",""
"1257","primo sale",""
"1284","primosale a cubetti","1257"
"398","prosciutto cotto",""
"2954","prosciutto cotto affettato","398"
"400","prosciutto cotto cubettato","398"
"2713","prosciutto crudo di parma  crumble","2414"
"1476","prosciutto crudo di parma  cubettato","2414"
"2414","prosciutto crudo di parma  dop",""
"2955","prosciutto crudo di parma dop affettato","2414"
"3109","prosciutto crudo e bresaola",""
"1480","provola affumicata",""
"1481","provola affumicata cubettata","1480"
"1864","provolone dolce",""
"921","quarto di limone",""
"253","radicchio rosso",""
"1985","radicchio rosso a spicchi","253"
"65","radicchio rosso julienne","253"
"416","ragù di carne artigianale pronto al consumo",""
"3140","ragù e provola",""
"3071","ravioli ai funghi porcini",""
"3194","ravioli cacio e pepe",""
"2971","ravioli di brasato",""
"3065","ravioli di gambero",""
"3003","ravioli di zucca",""
"208","ravioli freschi ricotta e spinaci",""
"1003","reale di vitello",""
"798","rice crispies al cacao",""
"1707","ricotta salata",""
"429","ricotta vaccina granarolo",""
"2778","rigatini",""
"2908","rigatini cotti",""
"3066","ripieno ai gamberi e limone per ravioli",""
"1422","riso basmati",""
"1423","riso basmati cotto",""
"95","riso carnaroli",""
"567","riso carnaroli classico cavalieri d'italia",""
"1368","riso carnaroli cotto",""
"983","riso lesso (250 g circa)",""
"109","riso parboiled",""
"147","riso venere",""
"1742","riso venere cotto",""
"2951","roast beef","576"
"576","roast-beef",""
"2948","rosette broccoli cotte",""
"1446","rosette broccoli surgelati",""
"2949","rosette cavolfiori cotte",""
"1472","rosette cavolfiori surgelati",""
"47","rosette di broccoli freschi","334"
"206","rosette di cavolfiori","333"
"34","rosmarino fresco",""
"677","rucola",""
"915","salame cacciatorino a fette","1037"
"1209","salamella (130 g)",""
"2362","salamini cacciatorini",""
"7","sale marino fino iodato",""
"8","sale marino grosso iodato",""
"910","salmone affumicato",""
"913","salmone affumicato con erba cipollina",""
"935","salmone affumicato julienne","910"
"2879","salmone baffa  surgelato",""
"103","salmone fresco cubettato","237"
"2186","salmone fresco cubetti per spiedini","237"
"2245","salmone fresco quadrotti","237"
"3160","salsa agrodolce miele e zenzero",""
"1791","salsa babaganoush",""
"1824","salsa bbq heinz",""
"3043","salsa di albicocche (120 g)",""
"1684","salsa di avocado",""
"3042","salsa di clementine (120g)",""
"3045","salsa di fichi (120g)",""
"3041","salsa di pere (120g)",""
"649","salsa di pomodoro artigianale pronta",""
"1711","salsa di soia",""
"3296","salsa di soia e miele",""
"1823","salsa di soia kikkoman",""
"2410","salsa noci",""
"971","salsa tonnata",""
"1541","salsa verde",""
"251","salsiccia di suino luganica",""
"98","salsiccia di suino tagliata","251"
"2945","salsiccia luganica 3pz (130gr)","251"
"33","salvia fresca",""
"54","scaglie di formaggio stagionato","244"
"256","scamone",""
"2941","scamone per trita","256"
"2969","scamorza  artigianale",""
"2970","scamorza  artigianale affumicata",""
"3077","scamorzine bocconcini artigianali",""
"335","sedano",""
"3176","sedano mondato","335"
"265","sedano mondato","335"
"2703","sedano rapa",""
"2739","sedano rapa cubetti","2703"
"1029","sedano tagliato","335"
"1570","semi di sesamo",""
"2225","senape",""
"2803","sfoglia di mozzarella","2802"
"3104","solidarietà",""
"3107","sorrisi",""
"3106","sostenibilità",""
"2950","sottofesa manzo",""
"449","spada fresco",""
"69","spaghetti",""
"2924","spaghetti cotti",""
"2914","spaghetti integrali cotti",""
"578","spaghetti quadrati",""
"1746","spaghetti quadrati integrali",""
"608","spaghettoni",""
"3029","spaghettoni cotti",""
"252","speck",""
"1395","speck affettato","252"
"150","speck julienne","252"
"2083","spezzatino di vitello",""
"1153","spezzatino manzo",""
"2187","spiedini planeat",""
"2964","spiedino di gambero argentino","2963"
"358","spiedino di pollo",""
"2676","spiedino di suino (220 g)",""
"2976","spinaci cotti",""
"3089","spinaci e ricotta",""
"3088","spinaci freschi cotti",""
"434","spinaci freschi mondati",""
"436","spinacino fresco lavato",""
"1445","spinaci surgelati",""
"2358","spumante",""
"902","spumante pinot nero extra dry oltrepò pavese cantina vanzini",""
"2359","spumante rosé",""
"412","straccetti di pollo","239"
"1296","straccetti di tacchino","419"
"739","stracchino alta qualità",""
"2864","stracciata di mozzarella di bufala",""
"568","stracciatella artigianale",""
"2865","succo di limone",""
"1865","susine",""
"1311","taccole surgelate",""
"642","tagliatelle secche all'uovo",""
"1066","taleggio dop",""
"1118","taleggio dop cubetti","1066"
"3059","taleggio dop  fettine","1066"
"3075","taleggio dop  tocchetti","1066"
"2363","taralli alle patate",""
"916","taralli artigianali alle patate",""
"659","tarallini ai semi di finocchio",""
"859","tarallini alle patate",""
"965","tarallini al peperoncino",""
"2669","tentacoli tagliati cotti di totano",""
"1174","thaina integrale 100% sesamo",""
"37","timo fresco",""
"2694","tomino del boscaiolo",""
"970","tonno in olio di semi di girasole",""
"996","tonno pinne gialle",""
"1116","tonno pinne gialle con granella di pistacchi e mandorle",""
"1260","tonno pinne gialle tritato a coltello","996"
"1819","torta salata ricotta e spinaci",""
"160","tortiglioni",""
"2952","tortiglioni cotti",""
"1745","tortiglioni  integrali",""
"2913","tortiglioni integrali cotti",""
"3093","totano gigante cotto",""
"2787","totano gigante del pacifico decongelato",""
"42","trancio di baffa di salmone","237"
"2733","trancio di baffa di salmone (150gr)",""
"1451","trito di pesce",""
"1729","trito per calamarata",""
"267","trito per soffritto",""
"15","trofie fresche",""
"70","uova da galline allevate all'aperto senza ogm, senza antibiotici - italia  cat. a",""
"3139","uova da galline allevate all'aperto senza ogm, senza antibiotici - italia  cat. a",""
"1011","uova sode",""
"754","verdure cubettate",""
"1372","verdure cubettate cotte",""
"356","verdure cubettate per ortolana",""
"1831","verdure e germogli di soia",""
"1559","verdure miste in proporzioni variabili",""
"2724","verdure pastellate",""
"2953","verdure pastellate cotte",""
"346","verdure per dadolata di verdure",""
"1625","verdure per insalata di ceci",""
"1233","verdure per minestrone estivo",""
"1771","verdure per paella",""
"1108","verza italia cat 1",""
"1109","verza italia tagliata e lavata  pronta al consumo","1108"
"74","vino bianco",""
"2361","vino dolce",""
"153","vino rosso",""
"2360","vino rosso fermo",""
"73","vongole veraci",""
"2796","yogurt greco dop  10%",""
"3320","yogurt intero bianco 150 gr",""
"149","zafferano fili",""
"2496","zenzero",""
"817","zucca",""
"1915","zucca cubettata small","817"
"2933","zucca cubo cotta",""
"2608","zucca cubo surgelata",""
"2415","zucca petali","817"
"1151","zucchero a velo",""
"1107","zucchero semolato",""
"195","zucchero semolato bianco",""
"236","zucchine",""
"164","zucchine a fette","236"
"1414","zucchine a fette per carpaccio","236"
"1416","zucchine a fette per griglia","236"
"1415","zucchine a fette per rotolini (4pz x20gr)","236"
"101","zucchine cubettate","236"
"2580","zucchine e porri",""
"1830","zucchine fiammifero","236"
"749","zucchine grigliate","236"
"2817","zucchine julienne","236"
"3235","zucchine mezza luna","236"
"38","zucchine mezza luna","236"
"460","zucchine mezza luna sottili","236"
"1340","zucchine per tortino vegetariano","236"
"499","zucchine tritate","236"
