Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
parmigiano reggiano,parmigiano reggiano,100
passata di pomodoro,salsa di pomodoro,83
pasta corta,pasta corta,100
pasta per pizza,impasto per pizza,88
patate,patata,83
patate,patate,100
patate rondelle,patate novelle,83
pecorino romano grattugiato,pecorino grattugiato,85
pecorino romano grattugiato,pecorino romano grattugiato,100
pecorino romano grattugiato,pecorino stagionato grattugiato,83
pepe nero in grani,pepe in grani,84
pepe nero in grani,pepe nero in grani,100
pepe nero in grani,pepe rosa in grani,89
pepe nero macinato,pepe bianco macinato,84
pepe nero macinato,pepe macinato,84
pepe nero macinato,pepe nero macinato,100
pepe nero macinato,pepe nero macinato fresco,84
pepe nero macinato,pepe nero marinato,94
pepe nero macinato,pepe nero vaccinato,92
pepe nero macinato,pepe rosa macinato,89
pepe rosa in grani,pepe in grani,84
pepe rosa in grani,pepe nero in grani,89
pepe rosa in grani,pepe rosa in grani,100
peperoncino frantumato,peperoncino rosso frantumato,88
peperoncino frantumato,peperoncino tritato,83
peperoni,peperoncino,84
peperoni,peperone,88
pera kaiser,pera kaiser,100
pesca nettarina,pesca nettarine,93
piadina,piadina,100
piadina integrale,farina integrale,85
piadina integrale,pane integrale,84
pinoli,pinoli,100
piselli finissimi surgelati,piselli fini surgelati,90
pomodori ciliegini,pomodori ciliegia,91
pomodori ciliegini,pomodori ciliegieni,97
pomodori ciliegini,pomodori ciliegini,100
pomodori ciliegini,pomodori ciliegino,94
pomodori ciliegini,pomodori ciliegino giallo,84
pomodori ciliegini,pomodori ciligino,91
pomodori ciliegini,pomodoro ciliegini,94
pomodori ciliegini,pomodoro ciliegino,89
pomodori ciliegini lavati,pomodori ciliegini,84
pomodori datterini,pomodori datterini,100
pomodori datterini,pomodori datterini confit,84
pomodori datterini,pomodori datterini gialli,84
pomodori datterini,pomodori datterino,94
pomodori datterini,pomodori datterino giallo,84
pomodori datterini,pomodori perini,85
pomodori datterini lavati,pomodori datterini,84
pomodori datterini lavati,pomodori datterini gialli,84
pomodori secchi,pomodori secchi,100
pomodori secchi,pomodori secco,90
pomodori secchi,pomodori semisecchi,88
pomodori secchi,pomodori succo,83
pomodori secchi,pomodoro secchi,93
pomodori secchi,pomodoro secco,83
pomodoro grappolo,pomodori a grappolo,89
prezzemolo fresco,prezzemolo fresco,100
prosciutto cotto,prosciutto cotto,100
prosciutto cotto affettato,prosciutto cotto a fette,88
prosciutto cotto affettato,prosciutto cotto affettato,100
prosciutto cotto affettato,prosciutto cotto affettato sottile,87
prosciutto cotto affettato,prosciutto cotto affumicato,87
prosciutto cotto cubettato,prosciutto cotto a cubetti,88
prosciutto cotto cubettato,prosciutto cotto affettato,88
prosciutto crudo di parma crumble,prosciutto crudo di parma,86
prosciutto crudo di parma cubettato,prosciutto crudo di parma,83
prosciutto crudo di parma dop,prosciutto crudo di parma,93
provola affumicata,provola affumicata,100
provola affumicata,provola affumicata fresca,84
provola affumicata,provola affumicato,94
provolone dolce,provola dolce,86
radicchio rosso,radicchio rosso,100
ricotta salata,ricotta salata,100
rigatini,rigatoni,88
riso basmati,riso basmati,100
riso basmati cotto,riso basmati già cotto,90
riso carnaroli,riso carnaroli,100
riso parboiled,riso parboiled,100
riso venere,riso venere,100
rosmarino fresco,rosmarino fresco,100
rosmarino fresco,rosmarino secco,84
rosmarino fresco,tomino fresco,83
rucola,rucola,100
salame cacciatorino a fette,salame cacciatorino,83
salamini cacciatorini,salame cacciatorino,85
salmone affumicato,sale affumicato,91
salmone affumicato,salmone affumicato,100
salmone fresco cubettato,salmone fresco abbattuto,83
salsa di soia,salsa di soia,100
salsa di soia,salsa di soia bio,87
salsa di soia,salsa di soia fino,84
salsa verde,salsa verde,100
salvia fresca,salvia fresca,100
salvia fresca,salvia fresco,92
scamone,salmone,86
sedano,sedano,100
sedano rapa,sedano rapa,100
semi di sesamo,semi di sesamo,100
semi di sesamo,semi di sesamo nero,85
senape,senape,100
spada fresco,sarda fresca,83
spaghetti,spaghetti,100
spaghettoni,spaghetti,90
speck,speck,100
speck affettato,speck affettato,100
spinaci freschi cotti,spinaci freschi,83
spinaci freschi cotti,spinaci freschi puliti,84
spumante,spumante,100
succo di limone,succo di lime,93
succo di limone,succo di limone,100
tagliatelle secche all'uovo,tagliatelle all'uovo,85
timo fresco,limone fresco,83
timo fresco,timo fresco,100
timo fresco,tomino fresco,83
tonno in olio di semi di girasole,olio di semi di girasole,84
tortiglioni,tortiglioni,100
trofie fresche,trofie fresche,100
uova sode,uova sode,100
vino bianco,vino bianco,100
vino rosso,vino rosso,100
vongole veraci,vongole veraci,100
yogurt intero bianco 150 gr,yogurt intero bianco,85
zenzero,zenzero,100
zucca,zucca,100
zucchero a velo,zucchero a belo,93
zucchero a velo,zucchero a velo,100
zucchero semolato,zucchero bianco semolato,83
zucchero semolato,zucchero semolato,100
zucchero semolato,zucchero semolato bianci,83
zucchero semolato,zucchero semolato bianco,83
zucchero semolato bianco,zucchero bianco semolato bianco,87
zucchero semolato bianco,zucchero semolato,83
zucchero semolato bianco,zucchero semolato bianci,96
zucchero semolato bianco,zucchero semolato bianco,100
zucchero semolato bianco,"zucchero semolato, bianco",98
zucchine,zucchina,88
zucchine,zucchine,100
