Nome,Unità di misura,Contatore usi
Acciuga,Unità,2
Acciuga in pasta,Cucchiaio,2
Acciuga sottolio,Unità,1
Aceto,Cucchiaio,32
Aceto Balsamico in crema,Cucchiai,3
Aceto balsamico,Cucchiai,31
Aceto balsamico di Modena,Unità,3
Aceto balsamico tradizionale di Modena,Cucchiaio,3
Aceto bianco,lt,27
Aceto di canna,ml,1
Aceto di lamponi,Cucchiaio,1
Aceto di mela,ml,1
Aceto di mele,lt,61
Aceto di riso,ml,23
Aceto di vino,Cucchiaino,4
Aceto di vino bianco,lt,24
Aceto di vino bianco o di mele,Cucchiai,1
Aceto di vino rosso,ml,4
Aceto fi mela,ml,2
Aceto rosso,Cucchiai,3
Acqua,ml,620
Acqua  temperatura ambiente,ml,1
Acqua  tiepida,ml,1
Acqua (meglio se quella di cottura dei fagioli),Cucchiai,2
Acqua (tenetene da parte 30 g),ml,1
Acqua a temperatura ambiente,g,4
Acqua aromatica alle rose,Cucchiai,1
Acqua aromatica di fiori d'arancio,Unità,1
Acqua aromatizzata ai fiori,Cucchiai,1
Acqua bollente,Cucchiai,4
Acqua calda,ml,8
Acqua di cocco,ml,1
Acqua di cottura della pasta,Mestoli,2
Acqua di fiori d'arancio,Cucchiaino,1
Acqua di fiori di arancio,Cucchiaio,1
Acqua fredda,Unità,21
Acqua freddissima,ml,2
Acqua frizante,ml,2
Acqua frizzante,Unità,14
Acqua frizzante fredda,Bicchiere,2
Acqua ghiacciata,Cucchiaio,3
Acqua millefiori,Cucchiaio,1
Acqua minerale,ml,3
Acqua minerale fredda,Cucchiaio,1
Acqua minerale frizzante,Unità,1
Acqua minerale naturale,ml,2
Acqua molto fredda,ml,1
Acqua oppure brodo vegetale,ml,2
Acqua sbucciato,ml,2
Acqua tazze,Unità,1
Acqua tiepida,ml,41
Acqua tiepido,g,2
Acqua tonica,ml,3
Agar agar,bustina,7
Agar agar in polvere,g,1
Aglio,Spicchio,765
Aglio  intero e schiacciato,Spicchio,1
Aglio (facoltarivo),Spicchio,1
Aglio 1/4 di spicchio,Unità,4
Aglio essiccato,Cucchiaino,1
Aglio in camicia,Spicchio,3
Aglio in polvere,Cucchiaino,8
Aglio novello,Spicchio,1
Aglio o la punta di undi aglio in polvere,Spicchio,1
Aglio polvere,Cucchiaino,1
Aglio rosso,g,1
Aglio spicchio,rotoli,5
Aglione,Spicchio,1
Agnello,kg,2
Agnello a pezzi,kg,1
Agnello carrè,g,1
Agnello corata,Unità,1
Agnello cosciotto,Unità,2
Agnello costolette,Unità,4
Agnello da latte,kg,1
Agnello la coscia,kg,1
Agnello polpa a pezzetti,kg,2
Agnello spalla talgiata a pezzi,Unità,2
Agretti,g,4
Albicocca,Unità,11
Albicocca disidratate,g,1
Albume,Unità,32
Albume 2,Unità,1
Albumi,Unità,39
Albumi  d'uovo a temperatura ambiente (meglio se vecchi di 2 giorni),g,1
Albumi montati a neve,Unità,1
Albumi pastorizzati,g,1
Albumi pastorizzato,ml,1
Alchermes,Unità,6
Alcol 90°,ml,1
Alcol a 95 gradi,lt,1
Alga Kombu,Foglio,3
Alga Nori,Foglio,7
Alga Wakame essiccata,g,2
Alga kombu,cm,2
Alga nori,Foglio,8
Alga nori in fogli,Unità,1
Alga spirulina,Cucchiaino,1
Alici,g,7
Alici filetti sottolio,Unità,1
Alici fresche,g,2
Alici sottolio,Filetto,11
Alici sottolio a filetti,g,2
Alloro,Foglia,155
Alloro fresco,Foglia,1
Amaranto,g,3
Amarena sciroppata,g,1
Amarena sciroppate,Cucchiai,1
"Amarena sciroppate, con poco del loro sciroppo",Unità,1
"Amarena sciroppate, sgocciolate",Unità,1
Amarena sciroppo,Cucchiai,1
Amarene,kg,7
Amarene sotto spirito,Unità,1
Amaretti,g,15
Amaretti piccoli,g,1
Amaretti secchi,g,1
Amaretto di Saronno,goccia,4
Amido,g,8
Amido  di mais,g,1
Amido di mais,g,42
Amido di mais (o fecola di patate),g,2
Amido di mais o di riso,g,1
Amido di patata,Cucchiaino,2
Amido di riso,g,6
Ammoniaca per dolci,g,3
Anacardo,g,5
Anacardo al naturale,g,2
Ananas,Unità,8
Ananas centrifugato,ml,2
Ananas fresco,g,3
Ananas il succo,ml,1
Ananas polpa,g,1
Ananas succo,ml,2
Anatra disossata,Unità,1
Anatra petto,g,1
Ancho polvere,Cucchiaino,1
Anelletti,g,2
Aneto,Unità,6
Aneto fresco,Unità,6
Aneto semi,Cucchiaino,2
Angostura,goccia,2
Anguria,g,6
Anguria a tocchetti,Unità,1
Anguria al netto degli scarti,g,1
Anguria succo,lt,1
Anice stellato,bacca,9
Anice stellato  in semi,Cucchiaino,1
Anice verde,semi,1
Aperol,parte,1
Arachidi,g,1
Arachidi tostate,unità,1
Arance,Unità,9
Arance  candita,g,1
Arance  candita e tagliata a cubetti,g,1
Arance bio,unità,1
Arance bionde,Unità,1
Arance buccia grattugiata,Cucchiai,2
Arance candita,g,1
Arance candite,g,2
Arance candite (scorze),g,1
Arance e zenzero candito,g,1
Arance essiccata,Fette,1
Arance il succo,cl,12
Arance il succo e la scorza grattugiata,Unità,1
Arance in succo,ml,1
Arance non trattate,Unità,3
"Arance non trattate, la scorza grattugiata",Unità,1
Arance spermuta,ml,1
Arance spremuta,ml,1
Arance succo,ml,1
Arancia,Unità,21
Arancia  (la scorza),Unità,1
Arancia  la buccia grattugiata,Unità,1
Arancia  la scorza,Unità,2
Arancia  la scorza intera,Unità,1
Arancia (scorza),Unità,1
Arancia a spicchi,Unità,1
Arancia bio,Unità,2
Arancia bio zeste,Stelo,1
Arancia buccia,Unità,2
Arancia buccia grattugiata,Cucchiaino,2
Arancia candita,Unità,1
Arancia grande,Unità,1
Arancia il succo,Unità,4
Arancia il succo e la scorza grattugiata,Unità,1
Arancia la buccia,Unità,1
Arancia la buccia grattugiata,Unità,9
Arancia la scorza,Unità,4
Arancia la scorza e il succo,Unità,1
Arancia la scorza grattugiata,Unità,19
Arancia la scorza grattugiata e il succo,Unità,1
Arancia la scorza grattugiata non trattata,Unità,1
Arancia la scorza non trattata,Unità,5
Arancia non trattata,Fetta,5
"Arancia non trattata, la scorza grattugiata",Unità,2
Arancia rossa,Unità,2
Arancia scorza,Unità,1
Arancia scorza grattugiata,Unità,3
Arancia scorza non trattata,Unità,1
Arancia scorze candite,Unità,1
Arancia succo e buccia grattugiata,Unità,2
Aringa affumicata,g,1
Aroma di fiori d'arancio,Unità,1
Asiago,g,2
Asiago fresco,g,1
Asparago,Unità,25
Asparago  di Altedo IGP (circa 400g),Unità,1
Asparago  già puliti dalle parti legnose,g,1
Asparago bianco,g,1
Asparago punte,Unità,3
Asparago qualche punta,Unità,1
Asparago selvatici,g,2
Asparago verde,kg,10
Asparago verdi,g,12
"Asparago verdi, al netto degli scarti",g,1
Astice,g,1
Avena,g,2
Avena crusca,g,1
Avena decorticata,g,2
Avena fiocchi,g,2
Avena fiocchi piccoli,g,3
Avena in fiocchi,g,12
Avena in piacchi,g,1
Avocado,Unità,52
Avocado maturo,Unità,4
Açai bacche in polvere,Cucchiaio,1
Babette Babbi,Unità,1
Baccalà,g,9
Baccalà ammollato,g,2
Baccalà ammollato e privo di spine,g,2
Baccalà dissalato,g,2
Baccalà già disossato e dissalato,g,2
Baccalà mantecato,g,1
Bacon,Fetta,10
Baileys,ml,2
Bambù,g,2
Banana,Unità,14
Banana matura,Unità,1
Banana mature,Unità,4
Barbabietola cotte,g,1
Barbabietola rossa già cotta,g,2
Barbabietola rossa in purea,g,3
Barbabietola rossa lesse,g,1
Barolo,Bottiglia,1
Basilico,Unità,135
Basilico  greco fresco,Cucchiaino,1
Basilico DOP genovese del Prà,Foglia,1
Basilico fresca,Unità,2
Basilico fresco,Unità,125
Basilico fresco tritato,Cucchiaino,2
Basilico genovese DOP,g,2
Basilico ligure,g,1
Basilico qualche foglia,Unità,2
Basilico tritato,Unità,1
Bavarese base,g,2
Bergamotto,Unità,3
Besciamella,ml,31
Besciamella pronta,g,6
Bianchetti,kg,1
Bicarbonato,Unità,52
Bicarbonato di sodio,Cucchiaino,3
Bieta,g,8
Bietola,g,12
Bietola da taglio,g,3
Bietola novelle,g,2
Bigoli,g,1
Birra,ml,5
Birra Guinness,ml,1
Birra ambrata,ml,1
Birra bionda,ml,1
Birra chiara,ml,3
Birra glutenfree,Cucchiaino,2
Birra non filtrata non pastorizzata,ml,2
Birra rossa,ml,4
Birra scura,ml,2
Biscokrok Babbi,Unità,2
Biscotti,g,2
Biscotti  amaretti secchi,g,1
"Biscotti  con gocce di cioccolato, tipo gocciole",g,1
Biscotti  tipo digestive,g,1
Biscotti Digestive,g,1
Biscotti Pandistelle,g,1
Biscotti Savoiardi,g,1
Biscotti a limone,g,1
Biscotti ai cereali tritati,g,1
Biscotti al cacao,g,1
Biscotti al cioccolato Pan di Stelle,g,1
Biscotti amaretti,g,1
Biscotti con gocce di cioccolato,g,1
Biscotti frollini senza glutine,Unità,1
Biscotti panna e cioccolato,g,1
Biscotti pavesini al cacao,Unità,1
Biscotti savoiardi,g,2
Biscotti secchi,g,27
Biscotti secchi al cioccolato,g,1
Biscotti secchi tipo Digestive,g,3
Biscotti tipo Digestive,g,1
Biscotti tipo digestive,g,2
Biscotti tipo digestive o integrali,g,1
Biscotti vegan ai cereali,Unità,1
Biscotto Oreo,Unità,2
Bisque,ml,1
Bitter,cl,1
Blu di bufala,Unità,1
Blue Curaçao,spruzzo,1
Borragine,g,1
Bottarga,g,2
Bottarga di Muggine,Pezzetto,2
Bottarga di muggine,g,1
Bottarga facoltativa,Unità,1
Brandy,Bicchiere,10
Branzino,g,1
Branzino (da 400-500 g l'uno),Unità,2
"Branzino abbattuto, sfilettato, tagliato a fettine",Unità,1
Branzino da 700 grammi circa eviscerato,Unità,2
Branzino filetti da circa 300 gr l'uno,Unità,1
Bresaola,g,12
Bresaola affettata,g,1
Bresaola della Valtellina IGP,g,1
Brie,g,6
Broccolo,Unità,27
Broccolo romano,g,1
Broccolo romano al vapore,Unità,1
Broccolo siciliano,g,1
Broccolo verde,g,1
"Broccolo verde, già sbollentato",g,1
Broccolo verdi,g,2
Brodo,Unità,20
Brodo dashi,ml,1
Brodo di carne,lt,27
Brodo di carne bollente,Unità,1
Brodo di carne o vegetale,ml,1
Brodo di dado vegetale,ml,1
Brodo di pesce,ml,2
Brodo di pesce granulare,Cucchiaio,5
Brodo di pollo,ml,8
Brodo granulare,Cucchiaino,2
Brodo granulare di carne,Cucchiaio,1
Brodo granulare vegetale,Cucchiaino,1
Brodo vegetale,lt,130
Brodo vegetale (anche preparato con il dado),lt,2
Brodo vegetale (o di carne),ml,1
Brodo vegetale granulare,Cucchiaino,2
Bucatini,g,2
Bulgur,Bicchiere,10
Bulgur precotto,g,2
Burrata,g,15
Burro,g,801
Burro  fuso,g,1
Burro  fuso e fatto intiepidire,g,1
Burro  fuso e fatto raffreddare,g,1
Burro  fuso fatto raffreddare,g,1
Burro  tagliato a cubetti,g,1
Burro 1,Noce,2
Burro Morbido,g,1
Burro a temperatura ambiente,g,12
Burro ammorbidito a temperatura ambiente,g,3
Burro chiarificato,g,3
Burro d'arachidi,g,1
Burro di arachidi,Cucchiaino,8
Burro di cocco,g,2
Burro di soia,g,1
Burro feddo,g,1
Burro freddo,g,3
Burro freddo a dadini,g,1
Burro freddo a pezzetti,g,1
Burro fuso,Unità,27
Burro fuso fatto raffreddare,g,1
Burro fuso raffreddato,g,1
Burro leggermente salato,g,1
"Burro leggermente salato, freddo",g,1
Burro morbido,g,23
Burro morbido a temperatura ambiente,g,1
Burro per lo stampo,Unità,1
Burro più altro per imburrare lo stampo,g,1
Burro pomata,g,2
Burro salato,g,4
Burro sciolto e raffreddato,g,1
Cacao,Cucchiaino,8
Cacao  Amaro,g,1
Cacao  tritato finemente,g,1
Cacao amaro,g,106
Cacao amaro in polvere,g,18
Cacao amaro setacciato,g,1
Cacao crudo amaro,g,1
Cacao fave,Unità,1
Cacao grue,g,1
Cacao grue o gocce di cioccolato,g,1
Cacao in polvere,g,3
Caciocavallo,g,5
Caciocavallo  o parmigiano,Unità,2
Caciocavallo a cubetti,g,2
Caciocavallo fresco,g,2
Caciocavallo grattugiato,g,7
Caciocavallo podolico grattugiato,g,1
Caciocavallo ragusano grattugiato,g,1
Caciocavallo stagionato,Unità,2
Caciocavallo stagionato grattugiato,g,2
Cacioricotta,g,1
Caciotta,g,7
Caco,Unità,2
Caco maturi,Unità,1
Caffè,Unità,6
Caffè amaro,Tazzina,5
Caffè amaro di moka,ml,1
Caffè d'orzo,ml,1
Caffè d'orzo solubile,Cucchiai,1
Caffè della moka,Tazzina,6
Caffè della moka freddo,ml,1
Caffè della moka non zuccherato,ml,1
Caffè della moka poco zuccherato,ml,1
"Caffè della moka, ristretto, non zuccherato",Unità,1
Caffè di moka amaro,ml,1
Caffè espresso,Tazzina,14
Caffè espresso amaro,ml,3
Caffè espresso amaro freddo,Tazzina,1
Caffè espresso bollente,ml,1
Caffè espresso forte,Cucchiai,1
Caffè forte,ml,2
Caffè freddo,ml,2
Caffè in chicchi,Unità,1
Caffè in polvere,Cucchiaino,4
Caffè liquido non zuccherato,Cucchiai,1
Caffè ristretto,ml,1
Caffè skolubile,Cucchiai,1
Caffè solubile,g,7
Calamaro,Unità,25
Calamaro di media grandezza,Unità,2
Calamaro già puliti,g,3
Calamaro puliti,Unità,3
Camembert,g,7
Campari,ml,1
Canditi,Unità,2
Canditi di agrumi,g,2
Canditi di arance,Cucchiaio,1
Canditi di limone e arancia,g,1
Candy Cane,g,1
Candy Cane bastoncini di zucchero,Unità,1
Cannella,stecca,60
Cannella  in polvere,Cucchiaino,2
Cannella (stecca),cm,1
Cannella in polvere,Cucchiaino,63
Cannella in stecche,Unità,1
Cannella macinata,Cucchiaino,1
Cannella polvere,Cucchiaino,1
Cannelloni,Unità,1
Cannelloni  di grano duro,Unità,1
Canocchia,Unità,6
Cappero,Cucchiaio,10
Cappero dissalati,Cucchiaino,4
Cappero dissalato,Manciata,1
Cappero frutti sottaceto,Unità,2
Cappero sottaceto,Cucchiaio,5
Cappero sotto sale,Cucchiaio,44
Cappero sottoaceto,Cucchiaio,2
Cappero sottosale,Cucchiaio,6
Cappesante,Unità,4
Cappone,kg,3
Caprino,g,10
Caramella,Unità,1
Caramella Mou,g,1
Caramella bianca tonda e piccola,Unità,1
Caramello,Unità,1
Caramello sciroppo,Unità,1
Carbone vegetale,g,2
Carciofino sottolio,g,2
Carciofino sottolio alla contadina,Unità,1
Carciofo,Unità,38
Carciofo cuori,g,1
Carciofo piccoli da crudo,Unità,3
Carciofo romanesco,Unità,2
Carciofo sbollentato in acqua e aceto,Unità,2
Carciofo varietà mammole,Unità,1
Carciofo violetti,Unità,2
Carciofo violetto,Unità,3
Cardamomo,semi,10
Cardamomo (i semi schiacciati),bacca,1
Cardamomo in bacche,bacca,1
Cardamomo in polvere,g,2
Cardi,g,2
Carletti,g,1
Carne,g,2
Carne  macinata,g,2
Carne  salada trentina,g,1
Carne arrosto,g,2
Carne di castrato,g,1
Carne di maiale,Unità,1
Carne di maiale macinata,g,1
Carne di manzo macinata,g,2
Carne di manzo per tartare,g,2
Carne di manzo taglio fesone,kg,1
Carne di pollo o di vitello,fettina,1
Carne macinata,g,5
Carne macinata di agnello,g,4
Carne macinata di maiale,g,2
Carne macinata di manzo o vitello,g,1
Carne macinata di vitello,g,1
Carne macinata mista,g,1
Carne macinata mista maiale e manzo,g,1
Carne macinata mista manzo e maiale,g,2
Carne macinato,g,2
Carne macinato di vitello,g,2
Carne macinato misto,Unità,3
Carne macinato misto manzo e maiale,g,1
Carne manzo e vitello macinati,g,2
Carne muscolo di manzo,g,2
Carne noce di vitello,kg,1
Carne spalla di vitello,kg,1
Carota,Unità,162
Carota a julienne,Unità,3
Carota media,Unità,1
Carota piccola,Unità,2
Carota tritata,Unità,1
Carote,Unità,119
Carote al netto degli scarti,g,1
Carote baby,g,3
Carote già pulite,g,1
Carote medie,Unità,1
Carote novella,Unità,2
Carote piccole,Unità,2
Carote tritata,g,1
Carote viola,g,2
Castagna,Unità,11
Castagna  arrostite,g,2
Castagna bollite,g,1
Castagna fresca,g,1
Castagna fresche,g,1
Castagna già cotte e sbucciate,g,1
Castagna lesse,Unità,1
Castrato,kg,1
Cavallo spezzatino,kg,1
Cavatelli,g,3
Cavatelli freschi,g,2
Cavoletti di Bruxelles,Unità,2
Cavolfiore,Unità,22
Cavolfiore (le cimette),Unità,3
Cavolfiore bianco,g,7
Cavolfiore giallo,Unità,1
Cavolfiore grande,Unità,2
Cavolfiore lesso,g,1
Cavolfiore media grandezza,Unità,1
Cavolfiore viola,Unità,1
Cavoli,g,1
Cavoli cappuccio,g,7
Cavoli cappuccio rosso,g,2
Cavoli cappuccio viola,g,3
Cavoli capuccio,g,1
Cavoli cinese,g,5
Cavoli nero,Cespi,10
Cavoli riccio,g,1
Cavoli rosso,g,1
Cavolo,Pezzetto,2
Cavolo cappuccio,Unità,1
Cavolo nero,Cespo,1
Ceci,g,3
Ceci  cotti,g,1
Ceci  lessati,g,1
Ceci coti in scatola,g,2
Ceci cotti,g,1
Ceci farina,g,1
Ceci già lessati,g,5
Ceci già lessi,g,5
Ceci lessati,g,11
Ceci lessati in scatola,g,2
Ceci lessi,g,5
Ceci neri,g,2
Ceci precotti,g,2
Ceci secchi,g,20
Cedro,Unità,1
Cedro  candito e tagliato a cubetti,g,1
Cedro candito,g,3
Cedro scorza grattugiata,Unità,2
Cereali mix,g,1
Cetriolino,g,2
Cetriolino sottaceto,Unità,10
Cetriolo,Unità,54
Cetriolo di media grandezza,Unità,1
Cetriolo sbucciato,g,1
Champagne,ml,1
Cheddar,g,1
Cheddar bianco,g,1
Cherry,ml,1
Chia (semi),g,1
Chia semi,g,2
Chili,Cucchiaino,1
Chiodi di garofano,Unità,39
Chiodi di garofano  in polvere,Cucchiaino,1
Chiodi di garofano in polvere,Pizzico,2
Chiodini,g,2
Cialda a cono vuota,unità,1
Cicoria,g,1
Cicoria già lessata,g,1
Ciliegie,Unità,15
"Ciliegie (arancia, cedro, zuccata)",Unità,1
Ciliegie Vignola IGP denocciolate,g,1
Ciliegie candite,unità,6
Ciliegie denocciolate,g,2
Ciliegie duroni neri di Vignola,g,1
Ciliegie snocciolate,g,1
Ciliegina al maraschino,Unità,1
Ciliegina candita,Unità,1
Ciliegina candita con il picciolo,Unità,1
Ciliegini,g,4
Ciliegini gialli,Unità,2
Cime di rapa,g,2
Cioccodelizia,g,2
Cioccolato,g,4
Cioccolato  bianco in scaglie,g,1
Cioccolato  fondente,g,1
Cioccolato  fondente (anche in gocce),g,1
Cioccolato  fondente 70%,g,1
Cioccolato  fondente al 70%,g,2
Cioccolato  fondente tritato finemente,g,1
Cioccolato Fondente,g,1
Cioccolato Fondente spezzettato,g,1
Cioccolato al latte,g,8
Cioccolato al latte in gocce,g,1
Cioccolato al latte in scagle,Cucchiai,1
Cioccolato alle nocciole,g,1
Cioccolato bianco,g,18
"Cioccolato bianco e fondente, tritati",g,1
Cioccolato bianco in gocce,g,1
Cioccolato bianco in granella,Unità,1
Cioccolato bianco senza glutine,g,1
"Cioccolato bianco, in gocce",g,1
Cioccolato burro,g,1
Cioccolato crema spalmabile,g,2
Cioccolato di cioccolato,g,1
Cioccolato findente,g,3
Cioccolato findente a scaglie,Unità,1
Cioccolato findente in gocce,g,1
Cioccolato fondente,g,107
Cioccolato fondente a pezzetti,g,1
Cioccolato fondente a pezzi,g,1
Cioccolato fondente a scaglie,Unità,1
Cioccolato fondente al 55%,g,1
Cioccolato fondente al 55% di cacao,kg,1
Cioccolato fondente al 60%,g,1
Cioccolato fondente al 70%,g,7
Cioccolato fondente fuso,g,2
Cioccolato fondente in gocce,g,23
Cioccolato fondente in gocce o tritato,g,1
Cioccolato fondente in riccioli,g,1
Cioccolato fondente o come preferite,g,1
Cioccolato fondente spezzettato,g,1
Cioccolato gianduia,g,1
Cioccolato gocce,g,2
Cioccolato gocce fondenti,Unità,2
Cioccolato in gocce,g,5
Cioccolato in pastiglie rosse,Unità,1
Cioccolato in scaglie,Unità,1
Cioccolato nocciolato (o al latte),g,1
Cioccolato nougat,g,1
Cioccolato per gli occhi,goccia,1
Cioccolato sciroppo,Unità,1
Cioccolato una metà dell'uovo di Pasqua,g,1
Cipolla,Unità,271
Cipolla  rossa di Tropea,Unità,2
Cipolla bianca,Unità,92
Cipolla bianca di media grandezza,Unità,1
Cipolla bianca grossa,Unità,2
Cipolla bianca media,Unità,1
Cipolla bianca o dorata,Unità,4
Cipolla bianca piccola,Unità,15
Cipolla biancoa,Unità,2
Cipolla bionda,Unità,3
Cipolla di Tropea,Unità,22
Cipolla di Tropea piccola,Unità,1
Cipolla di tropea,Unità,4
Cipolla disidratata,Cucchiaino,1
Cipolla dorata,kg,2
Cipolla grossa,Unità,1
Cipolla in polvere,Cucchiaino,2
Cipolla novella,Unità,4
Cipolla o scalogno,Unità,1
Cipolla piccola,Unità,9
Cipolla ramata,Unità,1
Cipolla rossa,Unità,26
Cipolla rossa di Tropea,Unità,13
Cipolla rossa di Tropea piccola,Unità,2
Cipolla rossa piccola,Unità,1
Cipolla tritata,Unità,1
Cipolle,Unità,46
Cipolle  rosse di Tropea,Unità,1
Cipolle al netto degli scarti,g,1
Cipolle bianca,g,13
Cipolle bianca di Chioggia,Unità,1
Cipolle bianche,Unità,3
Cipolle bionda,g,2
Cipolle borrettane,g,1
Cipolle di Tropea,Unità,5
Cipolle di Tropea grandi,Unità,3
Cipolle di tropea,Unità,1
Cipolle dorata,g,1
Cipolle già pulita,g,1
Cipolle grande,Unità,1
Cipolle grandi e tonde,Unità,2
Cipolle novelle,Unità,1
Cipolle piccole tritate finemente,Unità,3
Cipolle rossa,g,3
Cipolle rossa di Tropea,g,5
Cipolle rossa grande,Unità,1
Cipolle rossa piccole,Unità,2
Cipolle rosse,Unità,3
Cipolle tritata,g,3
Cipolle tritata fine,Cucchiaino,2
Cipolline,g,4
Cipolline borrettana,Unità,1
Cipolline borrettane,Unità,2
Cipollotto,Unità,111
Cipollotto fresco,Unità,2
Cipollotto la parte verde,Foglia,1
Cipollotto piccolo,Unità,1
Cipollotto rosso,Unità,3
Cipollotto rosso di Tropea,unità,2
Citronella,gambo,3
Clementina,Unità,2
Cocco,Cucchiaino,3
Cocco  rapè,g,2
Cocco disidratato,Unità,1
Cocco essiccato a scaglie,Unità,1
Cocco essiccato in polvere,Cucchiaio,1
Cocco essiccato in scaglie,Cucchiai,1
Cocco farina,g,2
Cocco fresco,g,2
Cocco grattugiato,g,1
Cocco in farina,g,3
Cocco in scaglie,Unità,3
Cocco in scaglire,Unità,1
Cocco liofilizzato,Unità,1
Cocco polpa,g,1
Cocco rapè,Cucchiaino,5
Cocco rapé,g,8
Coda di rospo,Unità,12
Codette di zucchero,Unità,1
Cognac,Cucchiaio,9
Cognac o Brandy,ml,1
Cointreau,ml,3
Cola,ml,3
Colla alimentare,Unità,1
Colla di pesce,g,12
Colla di pesce in fogli,Bicchiere,1
Colomba,g,5
Colomba pasquale,Fette,1
Colorante,Unità,1
Colorante Alimentare verde in pasta concentrata o gel,Unità,1
Colorante alimentare,Unità,4
Colorante alimentare arancione,goccia,1
Colorante alimentare dorato,Unità,1
Colorante alimentare fucsia,Unità,1
Colorante alimentare giallo,Cucchiai,1
Colorante alimentare in pasta color tiffany,Unità,1
Colorante alimentare in polvere color carne cipria o rosa chiaro,Unità,1
Colorante alimentare in vari colori,Unità,1
Colorante alimentare lilla,Unità,1
Colorante alimentare rosa,Unità,1
Colorante alimentare rosso,Unità,2
Colorante alimentare verde,goccia,1
Colorante blu,Unità,1
Colorante giallo,Unità,1
Colorante rosso,Unità,2
Colorante verde,Unità,2
Conchiglioni,g,2
Condimento per sushi,ml,2
Confetti,Unità,1
Confetti colorati,Unità,3
Confettini  rosa per il naso,Unità,1
Confettini colorati,Unità,1
Confettura,Unità,4
Confettura a piacere,Cucchiai,8
Confettura albicocche,Unità,1
Confettura di albicocca,Cucchiaio,1
Confettura di albicocche,g,5
Confettura di arance,Unità,1
Confettura di fichi caramellati,Unità,1
Confettura di fragole,g,5
Confettura di frutta chiara senza zucchero,Cucchiai,1
Confettura di frutti di bosco,Unità,3
Confettura di lamponi,Unità,2
Confettura di mirtilli,Unità,1
Confettura di mirtilli rossi,Unità,2
Confettura di pesce o di albicocche,Cucchiai,1
Confettura di pesche,Unità,1
Confettura di prugna,g,1
Confettura di ribes,g,1
Confettura di visciole,g,1
Confettura gusto a piacere,Vasetto,1
Coniglio,g,7
Coniglio cosce disossate,Unità,1
Coniglio costolette,Unità,2
Coniglio già in pezzi,kg,1
Coniglio in pezzi,kg,2
Coriandolo,Cucchiaino,11
Coriandolo fresco,Unità,20
Coriandolo fresco tritato,Cucchiaio,1
Coriandolo in polvere,Unità,7
Coriandolo in semi,Cucchiaino,1
Coriandolo semi,g,3
Coriandolo semi in polvere,Cucchiaino,3
Corn flakes,g,4
Costate di manzo,unità,1
Costate di razza Chianina da 600 gr ca.,Unità,1
Costine,kg,1
Costine di maiale,g,2
Cotechino precotto,Unità,5
Cotenna,g,1
Couscous,g,14
Couscous integrale,Unità,3
Couscous precotto,g,11
Cozza,kg,42
Cracker,g,4
Cracker o fette biscottate (tritate),g,1
Cracker senza glutine,Unità,2
Cramberries essiccati,Unità,1
Crema  spalmabile alle nocciole,Unità,1
Crema a piacere,Unità,1
Crema al cioccolato,Cucchiai,3
Crema di nocciole,g,9
Crema di nocciole con cioccolato fondente,g,1
Crema di nocciole senza cacao,g,1
Crema di nocciole spalmabile,g,1
Crema di pistacchi,g,1
Crema pasticcera,g,5
Crema pasticcera pronta,g,1
Crema spalmabile alle nocciole,g,1
Cremadelizia Babbi al pistacchio,Barattolo,2
Cremadelizia ai fichi caramellati,Unità,2
Cremor Tartaro,g,7
Croccante alle mandorle,g,1
Croccante di mandorla e nocciola,g,1
Crostino,g,7
Crostino di pane,Unità,2
Crusca,Unità,1
Crème de cacao,cl,1
Crème de menthe,cl,1
Crème fraîche,Unità,1
Cumino,Cucchiaino,11
Cumino in polvere,g,11
Cumino in semi,Unità,3
Cumino nero in semi,Cucchiaino,1
Cumino semi,Unità,15
Curcuma,Cucchiai,19
Curcuma in polvere,g,11
Curcuma in polvere colmo,Cucchiaino,3
Curcuma polvere,Cucchiaino,1
Curry,Cucchiaino,26
Curry Madras forte,Unità,2
Curry colmo,Cucchiaino,3
Curry in polvere,Pizzico,9
Curry piccante,Cucchiai,2
Curry rosso,Cucchiaino,5
Dado,Unità,1
Dado granulare,Cucchiaino,2
Dado vegetale,Unità,3
Dado vegetale bio,Unità,1
Dado vegetale granulare,Cucchiaino,1
Dattero,Unità,2
Dattero al netto degli scarti,g,1
Dattero denocciolati,Unità,1
Digestive,g,1
Ditalini,g,2
Dragon fruit a fette,Fetta,1
Dragoncello fresco,Mazzetto,3
Edamame,g,3
Edamame surgelate,g,1
Edamame surgelati,Cucchiai,3
Edamer,g,1
Emmenthal,g,21
Emmenthal a cubetti,g,2
Emmenthal a fette,g,2
Emmenthal a scaglie,g,1
Emmenthal grattugiato,g,3
Emmenthal grattugiato a scaglie,g,1
English muffin,Unità,2
Erba cipollina,Mazzetto,59
Erba cipollina fresca,Mazzetto,4
Erba cipollina i fiori,Unità,1
Erba cipollina per decorare,Unità,1
Erba cipollina tritato,Cucchiaio,1
Erbe aromatiche,Mazzetto,21
"Erbe aromatiche (timo, alloro, rosmarino, salvia)",Unità,1
"Erbe aromatiche (timo, salvia, rosmarino)",Mazzetto,1
Erbe aromatiche di Provenza,Cucchiaino,2
Erbe aromatiche fresche,g,2
Erbe aromatiche miste,Mazzetto,1
